case_id,dice_bin,baseline_dice,direction_type,random_direction_id,sign,alpha,perturbation_rms_ratio,edema_fraction_before,edema_fraction_after,edema_fraction_delta,analytical_probe_pred_delta,dice_before,dice_after,dice_delta,changed_voxels,source
BraTS2021_00289,low,0.8917381489842964,probe,,-1,-1.0,0.2463204637169838,0.5654308447594965,0.5904409398123746,0.0250100950528781,-8.114035886373355,0.8996615750481115,0.8830960854093567,-0.0165654896387548,341,existing_editing_results
BraTS2021_00289,low,0.8917381489842964,probe,,1,1.0,0.2463204637169838,0.5654308447594965,0.5417699115034659,-0.0236609332560305,8.114035886373353,0.8996615750481115,0.9106406893968616,0.0109791143487499,292,existing_editing_results
BraTS2021_00289,low,0.8917381489842964,random,random_00,-1,-1.0,0.2463204637169838,0.5654308447594965,0.5762205247416535,0.010789679982157074,5.985264279597809,0.8917381489842964,0.8937364228820658,0.0019982738977694092,131,downstream_from_cached_decoder1
BraTS2021_00289,low,0.8917381489842964,random,random_00,1,1.0,0.2463204637169838,0.5654308447594965,0.554639175256779,-0.010791669502717482,-5.98526427959781,0.8917381489842964,0.9041121150655503,0.012373966081253962,113,downstream_from_cached_decoder1
BraTS2021_00289,low,0.8917381489842964,random,random_01,-1,-1.0,0.2463204637169838,0.5654308447594965,0.5461095100854717,-0.019321334674024748,16.328442630602414,0.8917381489842964,0.913783323879832,0.02204517489553559,366,downstream_from_cached_decoder1
BraTS2021_00289,low,0.8917381489842964,random,random_01,1,1.0,0.2463204637169838,0.5654308447594965,0.5850878581595931,0.019657013400096623,-16.328442630602417,0.8917381489842964,0.8770166622587702,-0.0147214867255262,421,downstream_from_cached_decoder1
BraTS2021_00289,low,0.8917381489842964,random,random_02,-1,-1.0,0.2463204637169838,0.5654308447594965,0.5598621877682001,-0.0055686569912963835,-24.75061400600932,0.8917381489842964,0.9051795771397791,0.01344142815548277,104,downstream_from_cached_decoder1
BraTS2021_00289,low,0.8917381489842964,random,random_02,1,1.0,0.2463204637169838,0.5654308447594965,0.572825186411644,0.007394341652147585,24.75061400600932,0.8917381489842964,0.8928668294006935,0.001128680416397132,129,downstream_from_cached_decoder1
BraTS2021_01144,low,0.8686438759339513,probe,,-1,-1.0,0.24124161899089813,0.6768214351250901,0.7129467414149325,0.0361253062898424,-8.114035886373353,0.9078074663635076,0.8964209747526605,-0.0113864916108472,775,existing_editing_results
BraTS2021_01144,low,0.8686438759339513,probe,,1,1.0,0.24124161899089813,0.6768214351250901,0.6370774681598802,-0.0397439669652098,8.114035886373355,0.9078074663635076,0.9138623928727478,0.0060549265092401,738,existing_editing_results
BraTS2021_01144,low,0.8686438759339513,random,random_00,-1,-1.0,0.24124161899089813,0.6768214351250901,0.6874154262510713,0.01059399112598125,5.985264279597811,0.8686438759339513,0.9039680676215525,0.03532419168760115,249,downstream_from_cached_decoder1
BraTS2021_01144,low,0.8686438759339513,random,random_00,1,1.0,0.24124161899089813,0.6768214351250901,0.6665114979977036,-0.010309937127386481,-5.98526427959781,0.8686438759339513,0.9106963868073549,0.04205251087340356,219,downstream_from_cached_decoder1
BraTS2021_01144,low,0.8686438759339513,random,random_01,-1,-1.0,0.24124161899089813,0.6768214351250901,0.6660186625187927,-0.010802772606297362,16.328442630602414,0.8686438759339513,0.9148209581422994,0.04617708220834804,651,downstream_from_cached_decoder1
BraTS2021_01144,low,0.8686438759339513,random,random_01,1,1.0,0.24124161899089813,0.6768214351250901,0.6891308104365913,0.012309375311501225,-16.328442630602417,0.8686438759339513,0.8938670583915287,0.025223182457577376,716,downstream_from_cached_decoder1
BraTS2021_01144,low,0.8686438759339513,random,random_02,-1,-1.0,0.24124161899089813,0.6768214351250901,0.666853094704822,-0.009968340420268063,-24.750614006009318,0.8686438759339513,0.9105931798644041,0.04194930393045282,235,downstream_from_cached_decoder1
BraTS2021_01144,low,0.8686438759339513,random,random_02,1,1.0,0.24124161899089813,0.6768214351250901,0.6876013696155274,0.010779934490437348,24.75061400600932,0.8686438759339513,0.9036981415431277,0.03505426560917635,266,downstream_from_cached_decoder1
BraTS2021_01154,low,0.5669195751151231,probe,,-1,-1.0,0.24810572527348995,0.5456674473025319,0.5931372548978072,0.0474698075952753,-8.114035886373355,0.5278045644502481,0.5359116022113692,0.008107037761121,152,existing_editing_results
BraTS2021_01154,low,0.5669195751151231,probe,,1,1.0,0.24810572527348995,0.5456674473025319,0.493913043473966,-0.0517544038285658,8.114035886373353,0.5278045644502481,0.5134228187935791,-0.014381745656669,139,existing_editing_results
BraTS2021_01154,low,0.5669195751151231,random,random_00,-1,-1.0,0.24810572527348995,0.5456674473025319,0.5660660660618164,0.020398618759284504,5.985264279597815,0.5669195751151231,0.5332068311210209,-0.03371274399410229,56,downstream_from_cached_decoder1
BraTS2021_01154,low,0.5669195751151231,random,random_00,1,1.0,0.24810572527348995,0.5456674473025319,0.5243902438981758,-0.021277203404356126,-5.985264279597808,0.5669195751151231,0.5215686274525438,-0.0453509476625793,54,downstream_from_cached_decoder1
BraTS2021_01154,low,0.5669195751151231,random,random_01,-1,-1.0,0.24810572527348995,0.5456674473025319,0.49909420289403,-0.04657324440850191,16.328442630602414,0.5669195751151231,0.5044308111809664,-0.0624887639341567,177,downstream_from_cached_decoder1
BraTS2021_01154,low,0.5669195751151231,random,random_01,1,1.0,0.24810572527348995,0.5456674473025319,0.5872483221437098,0.041580874841177895,-16.328442630602414,0.5669195751151231,0.5457831325314886,-0.021136442583634563,210,downstream_from_cached_decoder1
BraTS2021_01154,low,0.5669195751151231,random,random_02,-1,-1.0,0.24810572527348995,0.5456674473025319,0.5307125307081842,-0.014954916594347667,-24.750614006009318,0.5669195751151231,0.5191740412995111,-0.047745533815612085,60,downstream_from_cached_decoder1
BraTS2021_01154,low,0.5669195751151231,random,random_02,1,1.0,0.24810572527348995,0.5456674473025319,0.5608663181436829,0.015198870841151013,24.750614006009325,0.5669195751151231,0.5351846008219149,-0.03173497429320826,58,downstream_from_cached_decoder1
BraTS2021_01415,low,0.8580513041604559,probe,,-1,-1.0,0.24272450990974903,0.5090607603926222,0.5278064442145077,0.0187456838218855,-8.114035886373355,0.8466562314460805,0.8507311885137725,0.004074957067692,329,existing_editing_results
BraTS2021_01415,low,0.8580513041604559,probe,,1,1.0,0.24272450990974903,0.5090607603926222,0.4915792042952262,-0.0174815560973959,8.114035886373355,0.8466562314460805,0.8430900536164553,-0.0035661778296252,295,existing_editing_results
BraTS2021_01415,low,0.8580513041604559,random,random_00,-1,-1.0,0.24272450990974903,0.5090607603926222,0.5171528588091981,0.008092098416575988,5.985264279597813,0.8580513041604559,0.8487187734534959,-0.009332530706960052,154,downstream_from_cached_decoder1
BraTS2021_01415,low,0.8580513041604559,random,random_00,1,1.0,0.24272450990974903,0.5090607603926222,0.5029932950185548,-0.006067465374067327,-5.98526427959781,0.8580513041604559,0.8448687350836164,-0.013182569076839568,113,downstream_from_cached_decoder1
BraTS2021_01415,low,0.8580513041604559,random,random_01,-1,-1.0,0.24272450990974903,0.5090607603926222,0.5025056376841612,-0.006555122708460925,16.328442630602417,0.8580513041604559,0.8323923392008012,-0.025658964959654695,473,downstream_from_cached_decoder1
BraTS2021_01415,low,0.8580513041604559,random,random_01,1,1.0,0.24272450990974903,0.5090607603926222,0.5181492269767889,0.009088466584166732,-16.328442630602414,0.8580513041604559,0.8588111520253241,0.0007598478648681573,492,downstream_from_cached_decoder1
BraTS2021_01415,low,0.8580513041604559,random,random_02,-1,-1.0,0.24272450990974903,0.5090607603926222,0.505218956208152,-0.00384180418447011,-24.75061400600932,0.8580513041604559,0.8440197622021587,-0.014031541958297256,114,downstream_from_cached_decoder1
BraTS2021_01415,low,0.8580513041604559,random,random_02,1,1.0,0.24272450990974903,0.5090607603926222,0.514325646400519,0.005264886007896874,24.750614006009325,0.8580513041604559,0.8495982860204341,-0.008453018140021862,148,downstream_from_cached_decoder1
BraTS2021_01273,low,0.7950391644921995,probe,,-1,-1.0,0.24731550924479961,0.4264264264200236,0.4679943100929161,0.0415678836728925,-8.114035886373353,0.8203125000011698,0.8239033693590343,0.0035908693578644,45,existing_editing_results
BraTS2021_01273,low,0.7950391644921995,probe,,1,1.0,0.24731550924479961,0.4264264264200236,0.389507154206844,-0.0369192722131795,8.114035886373355,0.8203125000011698,0.8098732488338234,-0.0104392511673464,41,existing_editing_results
BraTS2021_01273,low,0.7950391644921995,random,random_00,-1,-1.0,0.24731550924479961,0.4264264264200236,0.4480234260549338,0.021596999634910186,5.9852642795978115,0.7950391644921995,0.8216355441093263,0.026596379617126797,22,downstream_from_cached_decoder1
BraTS2021_01273,low,0.7950391644921995,random,random_00,1,1.0,0.24731550924479961,0.4264264264200236,0.4070660522210896,-0.019360374198933994,-5.985264279597805,0.7950391644921995,0.8178829717303229,0.022843807238123404,20,downstream_from_cached_decoder1
BraTS2021_01273,low,0.7950391644921995,random,random_01,-1,-1.0,0.24731550924479961,0.4264264264200236,0.3927986906646023,-0.03362773575542127,16.328442630602414,0.7950391644921995,0.804861580014822,0.00982241552262253,58,downstream_from_cached_decoder1
BraTS2021_01273,low,0.7950391644921995,random,random_01,1,1.0,0.24731550924479961,0.4264264264200236,0.4582172701886042,0.0317908437685806,-16.328442630602417,0.7950391644921995,0.8198992443336278,0.02486007984142835,53,downstream_from_cached_decoder1
BraTS2021_01273,low,0.7950391644921995,random,random_02,-1,-1.0,0.24731550924479961,0.4264264264200236,0.41358024690719786,-0.01284617951282574,-24.75061400600932,0.7950391644921995,0.8155467720697263,0.020507607577526787,18,downstream_from_cached_decoder1
BraTS2021_01273,low,0.7950391644921995,random,random_02,1,1.0,0.24731550924479961,0.4264264264200236,0.4407027818383499,0.01427635541832628,24.750614006009318,0.7950391644921995,0.8216355441093263,0.026596379617126797,17,downstream_from_cached_decoder1
BraTS2021_00185,low,0.7875196517113391,probe,,-1,-1.0,0.2435998786240816,0.6256027000956779,0.6530404257721061,0.0274377256764282,-8.114035886373355,0.7828085212099977,0.7922577542679777,0.00944923305798,611,existing_editing_results
