case_id,dice,boundary_error_fraction,false_positive_voxels,false_negative_voxels,confident_false_negative_fraction,missed_small_lesion_count,mean_entropy_error,mean_entropy_nonerror,entropy_error_auroc,entropy_error_auprc,overlap_top_5_uncertainty,overlap_top_10_uncertainty,overlap_top_20_uncertainty,path_embedding,path_entropy,path_prediction,path_ground_truth
BraTS2021_00000,0.9210156092986393,0.7760814249363868,885,294,0.003401360544217687,0,0.4994374215602875,0.13420863449573517,0.8625737033721984,0.4008862589002693,0.1102629346904156,0.28074639525021206,0.631891433418151,outputs_10hour/embeddings/epoch_005/BraTS2021_00000_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_00000_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_00000_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_00000_gt.npy
BraTS2021_01230,0.6959299902768497,0.5116491548652353,2089,100,0.01,10,0.4184248745441437,0.1784464716911316,0.7593549310697928,0.6486477092644811,0.05756052992233897,0.11283691183188671,0.297396071265418,outputs_10hour/embeddings/epoch_005/BraTS2021_01230_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01230_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01230_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01230_gt.npy
BraTS2021_01229,0.6828631578948704,0.5533722782793414,7488,44,0.0,0,0.2878229320049286,0.0925484374165535,0.8230887220568244,0.7431759535261553,0.07156133828996282,0.16383430695698353,0.33165161975570895,outputs_10hour/embeddings/epoch_005/BraTS2021_01229_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01229_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01229_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01229_gt.npy
BraTS2021_01227,0.8957577014833027,0.8502487562189055,1691,319,0.08463949843260188,3,0.32473763823509216,0.0925290584564209,0.8251186748056843,0.4470333088286488,0.10746268656716418,0.2736318407960199,0.5223880597014925,outputs_10hour/embeddings/epoch_005/BraTS2021_01227_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01227_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01227_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01227_gt.npy
BraTS2021_01220,0.9051817852398777,0.8471337579617835,582,203,0.0,1,0.4553307294845581,0.07828234881162643,0.9012376780405216,0.585238407459013,0.17070063694267515,0.3630573248407643,0.664968152866242,outputs_10hour/embeddings/epoch_005/BraTS2021_01220_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01220_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01220_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01220_gt.npy
BraTS2021_01218,0.7251518498069264,0.7689603214465093,3648,334,0.0,6,0.34332364797592163,0.1553558111190796,0.738864104154972,0.6136660132466876,0.06906077348066299,0.13460572576594676,0.29256654947262684,outputs_10hour/embeddings/epoch_005/BraTS2021_01218_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01218_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01218_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01218_gt.npy
BraTS2021_01216,0.9025876146213093,0.9938749194068343,1777,1325,0.1290566037735849,3,0.4073966443538666,0.1540488749742508,0.7909958495557152,0.39149478581794095,0.10025789813023855,0.2572533849129594,0.5096711798839458,outputs_10hour/embeddings/epoch_005/BraTS2021_01216_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01216_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01216_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01216_gt.npy
BraTS2021_01210,0.8220241771818388,0.9241447694595935,1140,877,0.021664766248574687,19,0.37591731548309326,0.13568195700645447,0.8008325753210208,0.5619491426287783,0.10708973723351513,0.21715418939018344,0.4015865146256817,outputs_10hour/embeddings/epoch_005/BraTS2021_01210_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01210_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01210_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01210_gt.npy
BraTS2021_01208,0.6164218637132864,0.39380623561414524,4516,263,0.08745247148288973,7,0.5301921367645264,0.10919848829507828,0.8907634638522703,0.8856923969915614,0.07804980121364302,0.1659342958777987,0.343168026783846,outputs_10hour/embeddings/epoch_005/BraTS2021_01208_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01208_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01208_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01208_gt.npy
BraTS2021_01207,0.8748950461797976,0.9082774049217002,1112,229,0.0,15,0.3440248668193817,0.07507267594337463,0.8721385939994107,0.5542681679191698,0.1372110365398956,0.2803877703206562,0.5197613721103654,outputs_10hour/embeddings/epoch_005/BraTS2021_01207_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01207_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01207_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01207_gt.npy
