layer,feature_set,classifier,bad_case_mode,dice_threshold,n_cases,n_bad_cases,auroc,auprc,balanced_accuracy,f1,bad_case_recall,accuracy,cv_folds
uncertainty_only,uncertainty_only,logistic_regression,threshold,0.8,375,56,0.928963278101209,0.7817554369073866,0.7836710703090013,0.6875,0.5892857142857143,0.92,5
encoder1,layer_only,logistic_regression,threshold,0.8,375,56,0.8303291536050157,0.46069510406934355,0.6151197939991043,0.3614457831325301,0.26785714285714285,0.8586666666666667,5
encoder1,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9319861173309449,0.7798197109140758,0.8041871921182266,0.6990291262135923,0.6428571428571429,0.9173333333333333,5
encoder2,layer_only,logistic_regression,threshold,0.8,375,56,0.8551276309896999,0.512658981864451,0.6655564263322884,0.46153846153846156,0.375,0.8693333333333333,5
encoder2,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9409426780116436,0.8072716898097757,0.8162505597850425,0.7254901960784313,0.6607142857142857,0.9253333333333333,5
encoder3,layer_only,logistic_regression,threshold,0.8,375,56,0.9059001343484102,0.7116471720906214,0.7606359158083296,0.6153846153846154,0.5714285714285714,0.8933333333333333,5
encoder3,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9360165696372593,0.8076708817992441,0.8104567845947157,0.7272727272727273,0.6428571428571429,0.928,5
encoder4,layer_only,logistic_regression,threshold,0.8,375,56,0.8410770264218541,0.5263219269522855,0.6907747424988804,0.5052631578947369,0.42857142857142855,0.8746666666666667,5
encoder4,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9187192118226601,0.7681544677433783,0.7952586206896552,0.6862745098039216,0.625,0.9146666666666666,5
bottleneck,layer_only,logistic_regression,threshold,0.8,375,56,0.8157187639946261,0.424286608191739,0.6325011195700851,0.391304347826087,0.32142857142857145,0.8506666666666667,5
bottleneck,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9173757277205553,0.7522429212757517,0.77583407971339,0.6534653465346535,0.5892857142857143,0.9066666666666666,5
decoder4,layer_only,logistic_regression,threshold,0.8,375,56,0.7994849977608598,0.4587369696302907,0.6030564263322884,0.3333333333333333,0.25,0.8506666666666667,5
decoder4,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.927115987460815,0.774383899164844,0.7863300492610837,0.6732673267326733,0.6071428571428571,0.912,5
decoder3,layer_only,logistic_regression,threshold,0.8,375,56,0.8666592028660994,0.5277203907988464,0.7012707120465741,0.5263157894736842,0.44642857142857145,0.88,5
decoder3,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9195588893864756,0.7326050752040948,0.8204769368562472,0.7169811320754716,0.6785714285714286,0.92,5
decoder2,layer_only,logistic_regression,threshold,0.8,375,56,0.8906739811912225,0.6356067088127375,0.750139946260636,0.5961538461538461,0.5535714285714286,0.888,5
decoder2,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9261083743842364,0.7616858042213404,0.8173421406180027,0.7037037037037037,0.6785714285714286,0.9146666666666666,5
decoder1,layer_only,logistic_regression,threshold,0.8,375,56,0.9211262875055979,0.7171976886431507,0.7432545902373489,0.6105263157894737,0.5178571428571429,0.9013333333333333,5
decoder1,uncertainty_plus_layer,logistic_regression,threshold,0.8,375,56,0.9701074787281685,0.8847084134373618,0.8309729064039408,0.7358490566037735,0.6964285714285714,0.9253333333333333,5
uncertainty_only,uncertainty_only,random_forest,threshold,0.8,375,56,0.918551276309897,0.747173735177907,0.8193853560232871,0.74,0.6607142857142857,0.9306666666666666,5
encoder1,layer_only,random_forest,threshold,0.8,375,56,0.7712998208687865,0.3580868440422647,0.5205161218092252,0.09523809523809523,0.05357142857142857,0.848,5
encoder1,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.8906180026869682,0.691180298794901,0.7568853560232871,0.6451612903225806,0.5357142857142857,0.912,5
encoder2,layer_only,random_forest,threshold,0.8,375,56,0.8241435288849082,0.4351418201975689,0.6046238244514106,0.3373493975903614,0.25,0.8533333333333334,5
encoder2,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.891037841468876,0.6390235539928779,0.7238300492610837,0.574468085106383,0.48214285714285715,0.8933333333333333,5
encoder3,layer_only,random_forest,threshold,0.8,375,56,0.8402373488580385,0.5379770275467836,0.6550604567845947,0.43956043956043955,0.35714285714285715,0.864,5
encoder3,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.8785826242722793,0.6477294263775246,0.7164688759516346,0.5652173913043478,0.4642857142857143,0.8933333333333333,5
encoder4,layer_only,random_forest,threshold,0.8,375,56,0.7664017017465293,0.4622373461690901,0.6166871921182266,0.36585365853658536,0.26785714285714285,0.8613333333333333,5
encoder4,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.8731527093596059,0.6564076928236184,0.6749608150470219,0.49411764705882355,0.375,0.8853333333333333,5
bottleneck,layer_only,random_forest,threshold,0.8,375,56,0.8049429019256606,0.48038977161373314,0.5856751007613077,0.29333333333333333,0.19642857142857142,0.8586666666666667,5
bottleneck,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.8728448275862069,0.6867915769670969,0.7153772951186744,0.5813953488372093,0.44642857142857145,0.904,5
decoder4,layer_only,random_forest,threshold,0.8,375,56,0.713474025974026,0.43862759133778073,0.6093260188087775,0.35,0.25,0.8613333333333333,5
decoder4,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.8383900582176445,0.6589983935632696,0.7033139274518585,0.5517241379310345,0.42857142857142855,0.896,5
decoder3,layer_only,random_forest,threshold,0.8,375,56,0.7828034034930587,0.3948171917706692,0.5841077026421854,0.2894736842105263,0.19642857142857142,0.856,5
decoder3,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.8781347962382446,0.6128754447343302,0.7196036721898791,0.5777777777777777,0.4642857142857143,0.8986666666666666,5
decoder2,layer_only,random_forest,threshold,0.8,375,56,0.8672749664128974,0.5543033127820524,0.6907747424988804,0.5052631578947369,0.42857142857142855,0.8746666666666667,5
decoder2,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.9083631885356023,0.6893863781115447,0.7805362740707569,0.673469387755102,0.5892857142857143,0.9146666666666666,5
decoder1,layer_only,random_forest,threshold,0.8,375,56,0.8645600089565607,0.5491645199641217,0.7117666815942678,0.5473684210526316,0.4642857142857143,0.8853333333333333,5
decoder1,uncertainty_plus_layer,random_forest,threshold,0.8,375,56,0.8983430362740707,0.7338944816362077,0.8135915808329601,0.7422680412371134,0.6428571428571429,0.9333333333333333,5
uncertainty_only,uncertainty_only,logistic_regression,quantile,0.869831944086551,375,94,0.9289013401983796,0.8398410897045452,0.7959983342167032,0.7134502923976608,0.648936170212766,0.8693333333333333,5
encoder1,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.8050276368592413,0.5795780030993072,0.6700234724009995,0.5060240963855421,0.44680851063829785,0.7813333333333333,5
encoder1,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9262890891194064,0.8332854661752255,0.8154955705307791,0.7386363636363636,0.6914893617021277,0.8773333333333333,5
encoder2,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.8629893238434164,0.6477484785670574,0.7232149617627016,0.5909090909090909,0.5531914893617021,0.808,5
encoder2,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9298099492693269,0.8370745303011307,0.8172560006057394,0.7374301675977654,0.7021276595744681,0.8746666666666667,5
encoder3,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.8960399787991217,0.7478626764519691,0.7817823881275081,0.6857142857142857,0.6382978723404256,0.8533333333333334,5
encoder3,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9286363292193535,0.8445300282112019,0.8278942984780798,0.7513812154696132,0.723404255319149,0.88,5
encoder4,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.8233133944120543,0.6205580272824243,0.7019572953736655,0.5595238095238095,0.5,0.8026666666666666,5
encoder4,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9175815855228289,0.8201411785811299,0.7995191943666238,0.711864406779661,0.6702127659574468,0.864,5
bottleneck,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.7960172635723478,0.5616033173181139,0.7019572953736655,0.5595238095238095,0.5,0.8026666666666666,5
bottleneck,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9098584084197774,0.7937104270206135,0.7942000454304535,0.7045454545454546,0.6595744680851063,0.8613333333333333,5
decoder4,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.7678882410842734,0.5829056625335363,0.6612213220261982,0.4900662251655629,0.39361702127659576,0.7946666666666666,5
decoder4,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9166351177405921,0.808627290735533,0.7906602559248883,0.7011494252873564,0.648936170212766,0.8613333333333333,5
decoder3,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.8538275157113652,0.6680113536768033,0.726811539335201,0.6024096385542169,0.5319148936170213,0.824,5
decoder3,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9260240781403801,0.8239859120037063,0.8208147194669493,0.7457627118644068,0.7021276595744681,0.88,5
decoder2,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.8849852351025971,0.7425693739486041,0.7675475126826683,0.6557377049180327,0.6382978723404256,0.832,5
decoder2,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9336336791095631,0.860022024592735,0.8350117362004997,0.768361581920904,0.723404255319149,0.8906666666666667,5
decoder1,layer_only,logistic_regression,quantile,0.869831944086551,375,94,0.8647686832740213,0.7126074933151775,0.7498485651548421,0.6358381502890174,0.5851063829787234,0.832,5
decoder1,uncertainty_plus_layer,logistic_regression,quantile,0.869831944086551,375,94,0.9440448247141667,0.8732454976747056,0.8527296130839706,0.7868852459016393,0.7659574468085106,0.896,5
uncertainty_only,uncertainty_only,random_forest,quantile,0.869831944086551,375,94,0.919133792685697,0.8250592908279798,0.790679185280533,0.7058823529411765,0.6382978723404256,0.8666666666666667,5
encoder1,layer_only,random_forest,quantile,0.869831944086551,375,94,0.7809494964791399,0.5361257363800964,0.6062504732338911,0.38028169014084506,0.2872340425531915,0.7653333333333333,5
encoder1,uncertainty_plus_layer,random_forest,quantile,0.869831944086551,375,94,0.9052964337093966,0.7953161713134909,0.7658438706746422,0.6666666666666666,0.5957446808510638,0.8506666666666667,5
encoder2,layer_only,random_forest,quantile,0.869831944086551,375,94,0.8169909896267131,0.5802376814522653,0.6789391989096691,0.5222929936305732,0.43617021276595747,0.8,5
encoder2,uncertainty_plus_layer,random_forest,quantile,0.869831944086551,375,94,0.8893011281895964,0.7442829760551537,0.7658249413189975,0.6627906976744186,0.6063829787234043,0.8453333333333334,5
encoder3,layer_only,random_forest,quantile,0.869831944086551,375,94,0.8358256984932232,0.6737890643462379,0.6931172862875747,0.546583850931677,0.46808510638297873,0.8053333333333333,5
encoder3,uncertainty_plus_layer,random_forest,quantile,0.869831944086551,375,94,0.8853638222154918,0.7673585269319374,0.7516657832967366,0.6463414634146342,0.5638297872340425,0.8453333333333334,5
encoder4,layer_only,random_forest,quantile,0.869831944086551,375,94,0.7717119709245097,0.551201389995701,0.6328462179147422,0.43537414965986393,0.3404255319148936,0.7786666666666666,5
encoder4,uncertainty_plus_layer,random_forest,quantile,0.869831944086551,375,94,0.8625728780192322,0.7091449541268324,0.7215302491103203,0.5987261146496815,0.5,0.832,5
bottleneck,layer_only,random_forest,quantile,0.869831944086551,375,94,0.7673392897705762,0.5274812033433389,0.6133300522450216,0.3972602739726027,0.30851063829787234,0.7653333333333333,5
bottleneck,uncertainty_plus_layer,random_forest,quantile,0.869831944086551,375,94,0.8870485348678732,0.7777730002398745,0.7516657832967366,0.6463414634146342,0.5638297872340425,0.8453333333333334,5
decoder4,layer_only,random_forest,quantile,0.869831944086551,375,94,0.7655220716286818,0.5671037958737436,0.6629628227455138,0.4936708860759494,0.4148936170212766,0.7866666666666666,5
decoder4,uncertainty_plus_layer,random_forest,quantile,0.869831944086551,375,94,0.8773567047777694,0.7296558749923059,0.735708336488226,0.6211180124223602,0.5319148936170213,0.8373333333333334,5
decoder3,layer_only,random_forest,quantile,0.869831944086551,375,94,0.7913417127280986,0.6139691245058212,0.6452638752176876,0.4594594594594595,0.3617021276595745,0.7866666666666666,5
