layer,target,target_label,r2,mae,spearman,n_cases,cv_folds
encoder1,centroid_x,Centroid X,0.002538621209517755,0.09172945678360857,0.10844158086480737,375,5
encoder1,centroid_y,Centroid Y,0.039018752373975896,0.10078843094932957,0.23029445898281944,375,5
encoder1,centroid_z,Centroid Z,0.03746416640635142,0.149229003577287,0.2376452383661395,375,5
encoder1,gt_wt_voxels,Whole-tumor volume,0.5783559943143288,3539.601880208333,0.7536572428393057,375,5
encoder1,log_wt_volume,log(WT volume),0.46846113394389255,0.4290532207294917,0.7377242548013059,375,5
encoder1,gt_edema_voxels,Edema volume,0.5060024414398809,2697.72531640625,0.7109864021450566,375,5
encoder1,gt_enhancing_voxels,Enhancing volume,0.4514979233295089,1159.5532672526042,0.7038464119193012,375,5
encoder1,gt_necrosis_voxels,Necrosis volume,0.14725383142717674,1462.9903611653647,0.3679664932257976,375,5
encoder1,gt_edema_frac,Edema fraction,0.17996745103835532,0.1474717922511643,0.49340516554784397,375,5
encoder1,gt_enhancing_frac,Enhancing fraction,0.32416347381366484,0.09524659095105804,0.5844511977700764,375,5
encoder1,gt_necrosis_frac,Necrosis fraction,0.1330565339833899,0.10313424181764451,0.2886137001640706,375,5
encoder1,gt_compactness,Boundary complexity,0.13414306568323264,0.8957464073993603,0.4306446694732051,375,5
encoder1,boundary_to_volume_ratio,Boundary-to-volume ratio,0.4406259512169711,0.04852171535679091,0.7131516668562977,375,5
encoder1,gt_elongation,Elongation,0.012518698582877352,1.370717071637039,0.1347065650244624,375,5
encoder1,gt_n_components,Multifocality (# components),0.057691621794975556,3.1043040161132813,0.19311764713217525,375,5
encoder1,false_positive_voxels,False-positive voxels,0.10993531412918178,750.5265161132812,0.2989921810039029,375,5
encoder1,false_negative_voxels,False-negative voxels,0.09815191867928486,746.1230947265625,0.36350636604613684,375,5
encoder1,boundary_error_fraction,Boundary error fraction,0.15478826886642993,0.15234720421835504,0.4299421550459666,375,5
encoder1,dice,Dice,0.23887069036794717,0.06601317462636974,0.5931031971782911,375,5
encoder2,centroid_x,Centroid X,0.08561329175121346,0.08587927367570092,0.37081237911025144,375,5
encoder2,centroid_y,Centroid Y,0.46519195018745874,0.06890633922774966,0.7060967117988395,375,5
encoder2,centroid_z,Centroid Z,0.2662597065653164,0.12005905771522801,0.5504623961770395,375,5
encoder2,gt_wt_voxels,Whole-tumor volume,0.6903939446310842,3121.8771328125,0.8443818055255209,375,5
encoder2,log_wt_volume,log(WT volume),0.6384814790837785,0.3612514379633422,0.8372027163961341,375,5
encoder2,gt_edema_voxels,Edema volume,0.5499658410961172,2687.9557233072915,0.7394186583190145,375,5
encoder2,gt_enhancing_voxels,Enhancing volume,0.6769142264226123,882.197140625,0.8623195279171381,375,5
encoder2,gt_necrosis_voxels,Necrosis volume,0.31044278493571753,1265.2839654947916,0.6404630566644974,375,5
encoder2,gt_edema_frac,Edema fraction,0.363646828742472,0.12782510198997452,0.6434413471384685,375,5
encoder2,gt_enhancing_frac,Enhancing fraction,0.46629075874431536,0.08347627256336415,0.724591377563994,375,5
encoder2,gt_necrosis_frac,Necrosis fraction,0.33764261760695,0.08471076612364609,0.6092476121474465,375,5
encoder2,gt_compactness,Boundary complexity,0.22415211557482606,0.8442853285865831,0.4920141085447719,375,5
encoder2,boundary_to_volume_ratio,Boundary-to-volume ratio,0.5506916840623377,0.043114197871937675,0.7858156786892706,375,5
encoder2,gt_elongation,Elongation,0.026321158060926608,1.3744286890118158,0.1734513596541131,375,5
encoder2,gt_n_components,Multifocality (# components),0.04883895182568443,3.1578364601135256,0.22659888047924015,375,5
encoder2,false_positive_voxels,False-positive voxels,0.21966305407701747,761.5093865559896,0.37663134705515267,375,5
encoder2,false_negative_voxels,False-negative voxels,0.17986383842308473,717.724498860677,0.4820014258795779,375,5
encoder2,boundary_error_fraction,Boundary error fraction,0.285647570749616,0.13914247295380744,0.521952032072063,375,5
encoder2,dice,Dice,0.3596978662835709,0.06201579562221193,0.6503185800432358,375,5
encoder3,centroid_x,Centroid X,0.5952798542233237,0.05363527565953981,0.798856525201957,375,5
encoder3,centroid_y,Centroid Y,0.7203103752699292,0.048262451856780526,0.8654154056206623,375,5
encoder3,centroid_z,Centroid Z,0.7871858454632876,0.059504989907585196,0.8753933325748096,375,5
encoder3,gt_wt_voxels,Whole-tumor volume,0.7106356196123003,3001.164078125,0.8636200622642304,375,5
encoder3,log_wt_volume,log(WT volume),0.7396841082587402,0.30887902771456216,0.8621905477734999,375,5
encoder3,gt_edema_voxels,Edema volume,0.5213234118279231,2758.9214407552086,0.7542236477168385,375,5
encoder3,gt_enhancing_voxels,Enhancing volume,0.6458866107164041,926.0903776041666,0.8508040327488477,375,5
encoder3,gt_necrosis_voxels,Necrosis volume,0.33972929068104984,1282.4697360026041,0.6070423916159273,375,5
encoder3,gt_edema_frac,Edema fraction,0.4120501200049831,0.12206771343073501,0.6852570258277393,375,5
encoder3,gt_enhancing_frac,Enhancing fraction,0.3069710823699685,0.0983688338074795,0.6181881216999171,375,5
encoder3,gt_necrosis_frac,Necrosis fraction,0.33831975588497554,0.08776792104451446,0.5387565647542613,375,5
encoder3,gt_compactness,Boundary complexity,0.2639487934926159,0.8273045165683305,0.5439494823074298,375,5
encoder3,boundary_to_volume_ratio,Boundary-to-volume ratio,0.5248903575994308,0.045346646000155554,0.7319374217772215,375,5
encoder3,gt_elongation,Elongation,-0.01934819150670153,1.3871746861682461,0.1841055865286153,375,5
encoder3,gt_n_components,Multifocality (# components),0.09283790905642575,3.054949840545654,0.29079831857273747,375,5
encoder3,false_positive_voxels,False-positive voxels,0.07294504421123438,768.9783663736979,0.4073603998837886,375,5
encoder3,false_negative_voxels,False-negative voxels,0.19159813866853814,727.6636814778645,0.5246013926108071,375,5
encoder3,boundary_error_fraction,Boundary error fraction,0.39071348939361483,0.13022372464754048,0.5376850407396424,375,5
encoder3,dice,Dice,0.47607365777814514,0.05604451576671836,0.6472925247468427,375,5
encoder4,centroid_x,Centroid X,0.8093500077980873,0.03462903555676837,0.9156591193537377,375,5
encoder4,centroid_y,Centroid Y,0.8239555859667764,0.03635241124133141,0.9107541244737741,375,5
encoder4,centroid_z,Centroid Z,0.9156610871213893,0.036154571465504166,0.9276732278985096,375,5
encoder4,gt_wt_voxels,Whole-tumor volume,0.5051888530298616,3911.3756315104165,0.7493317213179672,375,5
encoder4,log_wt_volume,log(WT volume),0.5553619641148622,0.4062277154925855,0.7825559864731085,375,5
encoder4,gt_edema_voxels,Edema volume,0.20380363134428447,3716.3943717447914,0.4739199748231019,375,5
encoder4,gt_enhancing_voxels,Enhancing volume,0.5229365912202982,1109.0016344401042,0.778066103952013,375,5
