layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
bottleneck,mean,tumor_volume,Tumor volume (pred WT voxels),1,290.0346666666667,-63.752,11701.106666666667,11637.354666666666
bottleneck,mean,false_negative_voxels,False-negative voxels,2,4.016,4.016,996.0666666666667,1000.0826666666667
bottleneck,mean,boundary_complexity,Boundary complexity,3,0.1764684355387112,-0.04218573389087303,6.212924539013352,6.170738805122478
bottleneck,mean,edema_fraction,Edema fraction,4,0.012967411909915318,-0.0060692155583168235,0.6238905015218923,0.6178212859635754
bottleneck,mean,necrosis_fraction,Necrosis fraction,5,0.007895386892496067,0.004505325872864671,0.13112282674917344,0.1356281526220381
bottleneck,mean,enhancing_fraction,Enhancing fraction,6,0.007218498898383417,0.001563889685408253,0.24498667172757516,0.2465505614129834
bottleneck,mean,centroid_z,Centroid Z (normalized),7,0.0038122636837532456,0.0006416949811649422,0.5043551347248298,0.5049968297059948
bottleneck,mean,dice,Dice,8,-0.0056489156586877025,0.0056489156586877025,0.8831681764083926,0.8888170920670805
bottleneck,mean,false_positive_voxels,False-positive voxels,9,-59.736,-59.736,1094.712,1034.976
bottleneck,noise,tumor_volume,Tumor volume (pred WT voxels),1,287.58133333333336,-65.11733333333333,11701.106666666667,11635.989333333333
bottleneck,noise,false_negative_voxels,False-negative voxels,2,5.061333333333334,5.061333333333334,996.0666666666667,1001.128
bottleneck,noise,boundary_complexity,Boundary complexity,3,0.17627432852401892,-0.041952683807346354,6.212924539013352,6.170971855206005
bottleneck,noise,edema_fraction,Edema fraction,4,0.012890460615669523,-0.005994854286162763,0.6238905015218923,0.6178956472357295
bottleneck,noise,necrosis_fraction,Necrosis fraction,5,0.007917638964231585,0.004502649926461133,0.13112282674917344,0.13562547667563457
bottleneck,noise,enhancing_fraction,Enhancing fraction,6,0.00713577855847262,0.0014922043596570103,0.24498667172757516,0.24647887608723215
bottleneck,noise,centroid_z,Centroid Z (normalized),7,0.0037818911906549084,0.0006779922858886443,0.5043551347248298,0.5050331270107186
bottleneck,noise,dice,Dice,8,-0.0055976857554323614,0.0055976857554323614,0.8831681764083926,0.888765862163825
bottleneck,noise,false_positive_voxels,False-positive voxels,9,-60.056,-60.056,1094.712,1034.656
bottleneck,zero,tumor_volume,Tumor volume (pred WT voxels),1,287.28266666666667,-65.37333333333333,11701.106666666667,11635.733333333334
bottleneck,zero,false_negative_voxels,False-negative voxels,2,5.144,5.144,996.0666666666667,1001.2106666666666
bottleneck,zero,boundary_complexity,Boundary complexity,3,0.1762472708242518,-0.04191666305466596,6.212924539013352,6.1710078759586855
bottleneck,zero,edema_fraction,Edema fraction,4,0.012866156850158603,-0.005973834409675554,0.6238905015218923,0.6179166671122167
bottleneck,zero,necrosis_fraction,Necrosis fraction,5,0.007915329996612755,0.004494816163893224,0.13112282674917344,0.13561764291306666
bottleneck,zero,enhancing_fraction,Enhancing fraction,6,0.007122121951446125,0.001479018245737857,0.24498667172757516,0.246465689973313
bottleneck,zero,centroid_z,Centroid Z (normalized),7,0.0037739540576938874,0.0006827524712293675,0.5043551347248298,0.5050378871960592
bottleneck,zero,dice,Dice,8,-0.005598696842152844,0.005598696842152844,0.8831681764083926,0.8887668732505455
bottleneck,zero,false_positive_voxels,False-positive voxels,9,-60.22933333333334,-60.22933333333334,1094.712,1034.4826666666668
decoder1,mean,tumor_volume,Tumor volume (pred WT voxels),1,11701.106666666667,-11701.106666666667,11701.106666666667,0.0
decoder1,mean,false_negative_voxels,False-negative voxels,2,10606.394666666667,10606.394666666667,996.0666666666667,11602.461333333333
decoder1,mean,boundary_complexity,Boundary complexity,3,6.212924539013352,-6.212924539013352,6.212924539013352,0.0
decoder1,mean,dice,Dice,4,0.8831681764067582,-0.8831681764067582,0.8831681764083926,1.6346497018029887e-12
decoder1,mean,edema_fraction,Edema fraction,5,0.6238905015218923,-0.6238905015218923,0.6238905015218923,0.0
decoder1,mean,enhancing_fraction,Enhancing fraction,6,0.24498667172757516,-0.24498667172757516,0.24498667172757516,0.0
decoder1,mean,centroid_z,Centroid Z (normalized),7,0.15775985566129994,-0.004355134724829893,0.5043551347248298,0.5
decoder1,mean,necrosis_fraction,Necrosis fraction,8,0.13112282674917344,-0.13112282674917344,0.13112282674917344,0.0
decoder1,mean,false_positive_voxels,False-positive voxels,9,-1094.712,-1094.712,1094.712,0.0
decoder1,noise,false_positive_voxels,False-positive voxels,1,275865.664,275865.664,1094.712,276960.376
decoder1,noise,tumor_volume,Tumor volume (pred WT voxels),2,269354.952,269354.952,11701.106666666667,281056.0586666667
decoder1,noise,false_negative_voxels,False-negative voxels,3,6510.712,6510.712,996.0666666666667,7506.778666666667
decoder1,noise,boundary_complexity,Boundary complexity,4,58.808429865508465,58.808429865508465,6.212924539013352,65.02135440452182
decoder1,noise,dice,Dice,5,0.8558121345810175,-0.8558121345810175,0.8831681764083926,0.02735604182737534
decoder1,noise,edema_fraction,Edema fraction,6,0.36762297288253126,-0.3638376653542532,0.6238905015218923,0.260052836167639
decoder1,noise,necrosis_fraction,Necrosis fraction,7,0.26754714437260124,0.25973422969708115,0.13112282674917344,0.3908570564462546
decoder1,noise,centroid_z,Centroid Z (normalized),8,0.15760178085830878,-0.010233981050683415,0.5043551347248298,0.4941211536741465
decoder1,noise,enhancing_fraction,Enhancing fraction,9,0.14843476679002876,0.10410343565849538,0.24498667172757516,0.34909010738607055
decoder1,zero,tumor_volume,Tumor volume (pred WT voxels),1,11701.106666666667,-11701.106666666667,11701.106666666667,0.0
decoder1,zero,false_negative_voxels,False-negative voxels,2,10606.394666666667,10606.394666666667,996.0666666666667,11602.461333333333
