layer,intervention,metric,metric_label,mean_baseline,mean_ablated,mean_delta,mean_degradation,mean_abs_delta,std_degradation,n_cases
bottleneck,mean,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,11637.354666666666,-3.570666666666667,16.525333333333332,16.525333333333332,44.96996946071546,375
bottleneck,mean,false_negative_voxels,False-negative voxels,998.28,1000.0826666666667,1.8026666666666666,1.8026666666666666,5.082666666666666,10.939233875809645,375
bottleneck,mean,boundary_complexity,Boundary complexity,6.174654469857373,6.170738805122478,-0.003915664734894054,0.011975012478717201,0.011975012478717201,0.02353471524643387,375
bottleneck,mean,edema_fraction,Edema fraction,0.6179801798768801,0.6178212859635754,-0.00015889391330471981,0.0005479610077043844,0.0005479610077043844,0.0010669996497151748,375
bottleneck,mean,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.2465505614129834,0.00016439582845960792,0.000392928570975365,0.000392928570975365,0.0010372727357702734,375
bottleneck,mean,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.1356281526220381,-5.501915155356033e-06,0.00026353693154438604,0.00026353693154438604,0.0005449502984171188,375
bottleneck,mean,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5049968297059948,3.5684239705647305e-05,0.00021240179343923874,0.00021240179343923874,0.0007509498162933073,375
bottleneck,mean,dice,Dice,0.8887710221203972,0.8888170920670805,4.6069946683319134e-05,-4.6069946683319134e-05,0.0005070848537221558,0.0010974503348087257,375
bottleneck,mean,false_positive_voxels,False-positive voxels,1036.744,1034.976,-1.768,-1.768,12.125333333333334,42.43380551243759,375
bottleneck,noise,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,11635.989333333333,-4.936,18.781333333333333,18.781333333333333,52.4573692292395,375
bottleneck,noise,false_negative_voxels,False-negative voxels,998.28,1001.128,2.848,2.848,5.872,11.031594878416147,375
bottleneck,noise,boundary_complexity,Boundary complexity,6.174654469857373,6.170971855206005,-0.0036826146513673783,0.010051323764088911,0.010051323764088911,0.016726384441300115,375
bottleneck,noise,edema_fraction,Edema fraction,0.6179801798768801,0.6178956472357295,-8.453264115065921e-05,0.0005361606457335108,0.0005361606457335108,0.0009550277519883707,375
bottleneck,noise,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.24647887608723215,9.271050270836511e-05,0.00036545921289933,0.00036545921289933,0.0007201096788488897,375
bottleneck,noise,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.13562547667563457,-8.17786155889482e-06,0.0002712413498989709,0.0002712413498989709,0.0006075211257274825,375
bottleneck,noise,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5050331270107186,7.198154442934938e-05,0.0002117510922261768,0.0002117510922261768,0.0007852500625138555,375
bottleneck,noise,dice,Dice,0.8887710221203972,0.888765862163825,-5.1599565720218765e-06,5.1599565720218765e-06,0.0005966228175621628,0.0018578605774450696,375
bottleneck,noise,false_positive_voxels,False-positive voxels,1036.744,1034.656,-2.088,-2.088,13.576,49.61644586762297,375
bottleneck,zero,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,11635.733333333334,-5.192,18.973333333333333,18.973333333333333,52.81062254729099,375
bottleneck,zero,false_negative_voxels,False-negative voxels,998.28,1001.2106666666666,2.9306666666666668,2.9306666666666668,5.954666666666666,11.116326737848363,375
bottleneck,zero,boundary_complexity,Boundary complexity,6.174654469857373,6.1710078759586855,-0.0036465938986869778,0.010026110258642053,0.010026110258642053,0.01624586197147497,375
bottleneck,zero,edema_fraction,Edema fraction,0.6179801798768801,0.6179166671122167,-6.351276466345079e-05,0.000533251144133639,0.000533251144133639,0.0009779270634844102,375
bottleneck,zero,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.246465689973313,7.952438878921159e-05,0.00036395490121189286,0.00036395490121189286,0.0007261007014317291,375
bottleneck,zero,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.13561764291306666,-1.601162412680381e-05,0.0002669426797519932,0.0002669426797519932,0.0006053225675836702,375
bottleneck,zero,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5050378871960592,7.674172977007262e-05,0.00022183287566819834,0.00022183287566819834,0.0008193959418969541,375
bottleneck,zero,dice,Dice,0.8887710221203972,0.8887668732505455,-4.148869851539579e-06,4.148869851539579e-06,0.0006008996464334393,0.001954845650102741,375
bottleneck,zero,false_positive_voxels,False-positive voxels,1036.744,1034.4826666666668,-2.2613333333333334,-2.2613333333333334,13.696,50.068679818347796,375
decoder1,mean,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,0.0,-11640.925333333333,11640.925333333333,11640.925333333333,6606.392423253779,375
decoder1,mean,false_negative_voxels,False-negative voxels,998.28,11602.461333333333,10604.181333333334,10604.181333333334,10604.181333333334,6552.418189299132,375
decoder1,mean,boundary_complexity,Boundary complexity,6.174654469857373,0.0,-6.174654469857373,6.174654469857373,6.174654469857373,1.1273469277941779,375
decoder1,mean,dice,Dice,0.8887710221203972,1.6346497018029887e-12,-0.8887710221187625,0.8887710221187625,0.8887710221187625,0.10502661599238285,375
decoder1,mean,edema_fraction,Edema fraction,0.6179801798768801,0.0,-0.6179801798768801,0.6179801798768801,0.6179801798768801,0.18559754983069612,375
decoder1,mean,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.0,-0.2463861655845238,0.2463861655845238,0.2463861655845238,0.13913152081061286,375
decoder1,mean,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5,-0.004961145466289188,0.15924415961092417,0.15924415961092417,0.060463182754771944,375
decoder1,mean,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.0,-0.13563365453719345,0.13563365453719345,0.13563365453719345,0.12293703458345195,375
decoder1,mean,false_positive_voxels,False-positive voxels,1036.744,0.0,-1036.744,-1036.744,1036.744,1349.2896441885405,375
decoder1,noise,false_positive_voxels,False-positive voxels,1036.744,276960.376,275923.632,275923.632,275923.632,21716.345004170238,375
decoder1,noise,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,281056.0586666667,269415.13333333336,269415.13333333336,269415.13333333336,21565.753424173006,375
decoder1,noise,false_negative_voxels,False-negative voxels,998.28,7506.778666666667,6508.498666666666,6508.498666666666,6508.498666666666,3987.1094631308424,375
decoder1,noise,boundary_complexity,Boundary complexity,6.174654469857373,65.02135440452182,58.84669993466444,58.84669993466444,58.84669993466444,2.012139454201131,375
decoder1,noise,dice,Dice,0.8887710221203972,0.02735604182737534,-0.8614149802930218,0.8614149802930218,0.8614149802930218,0.09919758272899318,375
decoder1,noise,edema_fraction,Edema fraction,0.6179801798768801,0.260052836167639,-0.3579273437092412,0.36138871089181074,0.36138871089181074,0.17556935452515388,375
decoder1,noise,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.3908570564462546,0.2552234019090611,0.2656178998663188,0.2656178998663188,0.09984693856349271,375
decoder1,noise,centroid_z,Centroid Z (normalized),0.5049611454662892,0.4941211536741465,-0.010839991792142711,0.15906127936010808,0.15906127936010808,0.06057451796071343,375
decoder1,noise,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.34909010738607055,0.10270394180154672,0.14779960235809816,0.14779960235809816,0.09403075169632645,375
decoder1,zero,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,0.0,-11640.925333333333,11640.925333333333,11640.925333333333,6606.392423253779,375
decoder1,zero,false_negative_voxels,False-negative voxels,998.28,11602.461333333333,10604.181333333334,10604.181333333334,10604.181333333334,6552.418189299132,375
decoder1,zero,boundary_complexity,Boundary complexity,6.174654469857373,0.0,-6.174654469857373,6.174654469857373,6.174654469857373,1.1273469277941779,375
decoder1,zero,dice,Dice,0.8887710221203972,1.6346497018029887e-12,-0.8887710221187625,0.8887710221187625,0.8887710221187625,0.10502661599238285,375
decoder1,zero,edema_fraction,Edema fraction,0.6179801798768801,0.0,-0.6179801798768801,0.6179801798768801,0.6179801798768801,0.18559754983069612,375
decoder1,zero,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.0,-0.2463861655845238,0.2463861655845238,0.2463861655845238,0.13913152081061286,375
decoder1,zero,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5,-0.004961145466289188,0.15924415961092417,0.15924415961092417,0.060463182754771944,375
decoder1,zero,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.0,-0.13563365453719345,0.13563365453719345,0.13563365453719345,0.12293703458345195,375
decoder1,zero,false_positive_voxels,False-positive voxels,1036.744,0.0,-1036.744,-1036.744,1036.744,1349.2896441885405,375
decoder2,mean,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,32683.136,21042.210666666666,21042.210666666666,21042.210666666666,10843.903364198632,375
decoder2,mean,false_positive_voxels,False-positive voxels,1036.744,21540.04533333333,20503.301333333333,20503.301333333333,20503.301333333333,10998.562279518268,375
decoder2,mean,boundary_complexity,Boundary complexity,6.174654469857373,15.207706706526778,9.033052236669407,9.033052236669407,9.033052236669407,3.7733916281211033,375
decoder2,mean,dice,Dice,0.8887710221203972,0.4902071258521375,-0.39856389626825967,0.39856389626825967,0.39856389626825967,0.20015656573443288,375
decoder2,mean,edema_fraction,Edema fraction,0.6179801798768801,0.5574736852329029,-0.06050649464397729,0.15737603747613177,0.15737603747613177,0.10161423910831847,375
decoder2,mean,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.2130416387403196,0.07740798420312611,0.12153202274239071,0.12153202274239071,0.0762666516982916,375
decoder2,mean,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.2294846760264445,-0.016901489558079286,0.09766792017152985,0.09766792017152985,0.09155908930824552,375
decoder2,mean,centroid_z,Centroid Z (normalized),0.5049611454662892,0.49679873930515667,-0.008162406161132478,0.09355400818809198,0.09355400818809198,0.06382055254116312,375
decoder2,mean,false_negative_voxels,False-negative voxels,998.28,459.3706666666667,-538.9093333333333,-538.9093333333333,564.3013333333333,598.6893057385475,375
decoder2,noise,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,25733.570666666667,14092.645333333334,14092.645333333334,14092.645333333334,7905.74926311911,375
decoder2,noise,false_positive_voxels,False-positive voxels,1036.744,14773.52,13736.776,13736.776,13736.776,8069.937663050359,375
decoder2,noise,boundary_complexity,Boundary complexity,6.174654469857373,13.46600069302129,7.291346223163917,7.291346223163917,7.291346223163917,3.511592239388156,375
decoder2,noise,dice,Dice,0.8887710221203972,0.557737102540374,-0.33103391958002304,0.33103391958002304,0.33103391958002304,0.19646835073858376,375
decoder2,noise,edema_fraction,Edema fraction,0.6179801798768801,0.6005590433016121,-0.017421136575267983,0.1389350249937013,0.1389350249937013,0.09753333242801825,375
decoder2,noise,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.1563531171498789,0.02071946261268544,0.0905275239856861,0.0905275239856861,0.07538022542058281,375
decoder2,noise,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.24308783954808696,-0.003298326036436833,0.08961981631642853,0.08961981631642853,0.08695813044984645,375
decoder2,noise,centroid_z,Centroid Z (normalized),0.5049611454662892,0.497944678840128,-0.0070164666261611705,0.08016387090233094,0.08016387090233094,0.06185526891193738,375
decoder2,noise,false_negative_voxels,False-negative voxels,998.28,642.4106666666667,-355.8693333333333,-355.8693333333333,430.8186666666667,544.8622418187139,375
