layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
bottleneck,mean,tumor_volume,Tumor volume (pred WT voxels),1,16.525333333333332,-3.570666666666667,11640.925333333333,11637.354666666666
bottleneck,mean,false_negative_voxels,False-negative voxels,2,1.8026666666666666,1.8026666666666666,998.28,1000.0826666666667
bottleneck,mean,boundary_complexity,Boundary complexity,3,0.011975012478717201,-0.003915664734894054,6.174654469857373,6.170738805122478
bottleneck,mean,edema_fraction,Edema fraction,4,0.0005479610077043844,-0.00015889391330471981,0.6179801798768801,0.6178212859635754
bottleneck,mean,enhancing_fraction,Enhancing fraction,5,0.000392928570975365,0.00016439582845960792,0.2463861655845238,0.2465505614129834
bottleneck,mean,necrosis_fraction,Necrosis fraction,6,0.00026353693154438604,-5.501915155356033e-06,0.13563365453719345,0.1356281526220381
bottleneck,mean,centroid_z,Centroid Z (normalized),7,0.00021240179343923874,3.5684239705647305e-05,0.5049611454662892,0.5049968297059948
bottleneck,mean,dice,Dice,8,-4.6069946683319134e-05,4.6069946683319134e-05,0.8887710221203972,0.8888170920670805
bottleneck,mean,false_positive_voxels,False-positive voxels,9,-1.768,-1.768,1036.744,1034.976
bottleneck,noise,tumor_volume,Tumor volume (pred WT voxels),1,18.781333333333333,-4.936,11640.925333333333,11635.989333333333
bottleneck,noise,false_negative_voxels,False-negative voxels,2,2.848,2.848,998.28,1001.128
bottleneck,noise,boundary_complexity,Boundary complexity,3,0.010051323764088911,-0.0036826146513673783,6.174654469857373,6.170971855206005
bottleneck,noise,edema_fraction,Edema fraction,4,0.0005361606457335108,-8.453264115065921e-05,0.6179801798768801,0.6178956472357295
bottleneck,noise,enhancing_fraction,Enhancing fraction,5,0.00036545921289933,9.271050270836511e-05,0.2463861655845238,0.24647887608723215
bottleneck,noise,necrosis_fraction,Necrosis fraction,6,0.0002712413498989709,-8.17786155889482e-06,0.13563365453719345,0.13562547667563457
bottleneck,noise,centroid_z,Centroid Z (normalized),7,0.0002117510922261768,7.198154442934938e-05,0.5049611454662892,0.5050331270107186
bottleneck,noise,dice,Dice,8,5.1599565720218765e-06,-5.1599565720218765e-06,0.8887710221203972,0.888765862163825
bottleneck,noise,false_positive_voxels,False-positive voxels,9,-2.088,-2.088,1036.744,1034.656
bottleneck,zero,tumor_volume,Tumor volume (pred WT voxels),1,18.973333333333333,-5.192,11640.925333333333,11635.733333333334
bottleneck,zero,false_negative_voxels,False-negative voxels,2,2.9306666666666668,2.9306666666666668,998.28,1001.2106666666666
bottleneck,zero,boundary_complexity,Boundary complexity,3,0.010026110258642053,-0.0036465938986869778,6.174654469857373,6.1710078759586855
bottleneck,zero,edema_fraction,Edema fraction,4,0.000533251144133639,-6.351276466345079e-05,0.6179801798768801,0.6179166671122167
bottleneck,zero,enhancing_fraction,Enhancing fraction,5,0.00036395490121189286,7.952438878921159e-05,0.2463861655845238,0.246465689973313
bottleneck,zero,necrosis_fraction,Necrosis fraction,6,0.0002669426797519932,-1.601162412680381e-05,0.13563365453719345,0.13561764291306666
bottleneck,zero,centroid_z,Centroid Z (normalized),7,0.00022183287566819834,7.674172977007262e-05,0.5049611454662892,0.5050378871960592
bottleneck,zero,dice,Dice,8,4.148869851539579e-06,-4.148869851539579e-06,0.8887710221203972,0.8887668732505455
bottleneck,zero,false_positive_voxels,False-positive voxels,9,-2.2613333333333334,-2.2613333333333334,1036.744,1034.4826666666668
decoder1,mean,tumor_volume,Tumor volume (pred WT voxels),1,11640.925333333333,-11640.925333333333,11640.925333333333,0.0
decoder1,mean,false_negative_voxels,False-negative voxels,2,10604.181333333334,10604.181333333334,998.28,11602.461333333333
decoder1,mean,boundary_complexity,Boundary complexity,3,6.174654469857373,-6.174654469857373,6.174654469857373,0.0
decoder1,mean,dice,Dice,4,0.8887710221187625,-0.8887710221187625,0.8887710221203972,1.6346497018029887e-12
decoder1,mean,edema_fraction,Edema fraction,5,0.6179801798768801,-0.6179801798768801,0.6179801798768801,0.0
decoder1,mean,enhancing_fraction,Enhancing fraction,6,0.2463861655845238,-0.2463861655845238,0.2463861655845238,0.0
decoder1,mean,centroid_z,Centroid Z (normalized),7,0.15924415961092417,-0.004961145466289188,0.5049611454662892,0.5
decoder1,mean,necrosis_fraction,Necrosis fraction,8,0.13563365453719345,-0.13563365453719345,0.13563365453719345,0.0
decoder1,mean,false_positive_voxels,False-positive voxels,9,-1036.744,-1036.744,1036.744,0.0
decoder1,noise,false_positive_voxels,False-positive voxels,1,275923.632,275923.632,1036.744,276960.376
