layer,intervention,mean_rho,std_rho,n_cases,mean_dice_degradation,dice_degradation_per_rho,mean_tumor_volume_degradation,tumor_volume_degradation_per_rho,mean_edema_fraction_degradation,edema_fraction_degradation_per_rho,mean_boundary_complexity_degradation,boundary_complexity_degradation_per_rho,mean_false_negative_voxels_degradation,false_negative_voxels_degradation_per_rho
decoder4,mean,0.6893260197308329,0.009337951974941791,375,-0.002259814537661142,-0.0032782957163629937,209.72533333333334,304.2469416941879,0.005230660360747627,0.007588079096143924,0.07570243414852199,0.10982094390994,84.88266666666667,123.13863721524909
decoder1,mean,0.8046637889146805,0.009899666379761253,375,0.8887710221187625,1.1045246901411143,11640.925333333333,14466.8189294742,0.6179801798768801,0.7679979991524204,6.174654469857373,7.6735831224438,10604.181333333334,13178.40007145855
encoder1,mean,0.8058418227831523,0.008779551277174218,375,0.49849900506772593,0.6186065192621174,7879.482666666667,9777.952004840276,0.5180221155034366,0.642833495181887,1.8873048552458782,2.342028921665613,7287.818666666667,9043.733473023998
encoder2,mean,0.8291490241554049,0.011846132970259413,375,0.27290801267970105,0.3291422949664483,9373.277333333333,11304.695609913097,0.10580157435200759,0.12760260371744406,5.5089067832008425,6.644049046324783,-81.408,-98.1825915828877
decoder2,mean,0.8387479989594884,0.009033697147833742,375,0.39856389626825967,0.47518908750029737,21042.210666666666,25087.643359829948,0.15737603747613177,0.18763208695742362,9.033052236669407,10.769685588371466,-538.9093333333333,-642.5163863304342
decoder3,mean,0.8490417491992315,0.016171560731678282,375,0.05534718720491515,0.06518782763876513,2458.8053333333332,2895.976947720581,0.04527887286498599,0.053329383281435196,0.5594528158756684,0.658922622360223,1746.8826666666666,2057.4755815179033
bottleneck,mean,0.8593068371746274,0.008930961285139656,375,-4.6069946683319134e-05,-5.3612917633467924e-05,16.525333333333332,19.23100412847649,0.0005479610077043844,0.0006376779329558952,0.011975012478717201,0.013935665306807808,1.8026666666666666,2.097814876690351
encoder3,mean,0.9102398220035764,0.021585941299317447,375,0.027354734036711667,0.030052227309171918,809.56,889.3919826733521,0.03187878436712408,0.03502240134578382,0.3332659679169854,0.366129848267258,-104.40533333333333,-114.70090717798008
encoder4,mean,0.9174459728532367,0.01397989818129203,375,0.0005439953560386296,0.0005929453854888218,96.53866666666667,105.22545144149856,0.0032895922256929466,0.0035855977605551937,0.051692884093341024,0.05634433593138711,26.584,28.976093183257806
decoder4,noise,1.214977043774393,0.005316576543883144,375,-0.0015923212195293039,-0.0013105772061196073,174.72,143.80518619283762,0.004608750724201185,0.003793282142915102,0.06539842787775019,0.05382688357187917,68.14133333333334,56.084461580976495
decoder1,noise,1.2835798915492165,0.006181441631807835,375,0.8614149802930218,0.6711035175639415,269415.13333333336,209893.54469254176,0.36138871089181074,0.28154750107189097,58.84669993466444,45.845763338999824,6508.498666666666,5070.583225490729
encoder1,noise,1.284307255268097,0.005523188235923359,375,0.513039441778363,0.39946783736829933,8165.648,6358.017496596198,0.554749734245884,0.43194471725543665,2.028110861121292,1.5791477100220284,7529.962666666666,5863.053903790958
encoder2,noise,1.2990811195108625,0.007574625410704255,375,0.30206728549864065,0.2325238054513307,11566.061333333333,8903.263360249784,0.1163910244548785,0.08959488572869316,6.273797144473795,4.829411381820437,-171.368,-131.91477993654811
decoder2,noise,1.3052303462823232,0.00582930337015169,375,0.33103391958002304,0.2536210719609027,14092.645333333334,10797.05614681217,0.1389350249937013,0.10644483204779048,7.291346223163917,5.586252452627843,-355.8693333333333,-272.64868178015706
decoder3,noise,1.3119972834322187,0.010510395049783839,375,0.051149767802860464,0.03898618423130523,2345.8906666666667,1788.030124978427,0.04359337423702838,0.03322672599061104,0.5373946487777634,0.40960042796119606,1651.7973333333334,1258.9944767356446
bottleneck,noise,1.3228751301500532,0.00607068327119839,375,5.1599565720218765e-06,3.90056208210414e-06,18.781333333333333,14.197359149992467,0.0005361606457335108,0.00040529951279127474,0.010051323764088911,0.007598089596671753,2.848,2.1528864932829697
encoder3,noise,1.3524662558105258,0.014430577865540164,375,0.02073426376725462,0.015330706905384997,630.688,466.324388716103,0.026768435811181376,0.019792313261922528,0.2601044226398531,0.19231860427007394,-43.48266666666667,-32.15064810663815
encoder4,noise,1.3578031238714854,0.00943845598588059,375,-9.523844904300464e-05,-7.014157455423476e-05,174.352,128.40742294278462,0.004966232031608042,0.0036575494225170825,0.0816459298657888,0.06013090442227948,52.504,38.66834526812404
bottleneck,zero,1.0,0.0,375,4.148869851539579e-06,4.148869851539579e-06,18.973333333333333,18.973333333333333,0.000533251144133639,0.000533251144133639,0.010026110258642053,0.010026110258642053,2.9306666666666668,2.9306666666666668
decoder1,zero,1.0,0.0,375,0.8887710221187625,0.8887710221187625,11640.925333333333,11640.925333333333,0.6179801798768801,0.6179801798768801,6.174654469857373,6.174654469857373,10604.181333333334,10604.181333333334
decoder2,zero,1.0,0.0,375,0.4117368563850179,0.4117368563850179,22542.338666666667,22542.338666666667,0.1591715050497843,0.1591715050497843,9.472456721292907,9.472456721292907,-566.168,-566.168
decoder3,zero,1.0,0.0,375,0.05343816343859583,0.05343816343859583,2393.4,2393.4,0.04434999920180274,0.04434999920180274,0.550999262389695,0.550999262389695,1691.4773333333333,1691.4773333333333
decoder4,zero,1.0,0.0,375,-0.0015968521136872616,-0.0015968521136872616,174.55733333333333,174.55733333333333,0.0046083751550044,0.0046083751550044,0.06540270843918658,0.06540270843918658,68.06933333333333,68.06933333333333
encoder1,zero,1.0,0.0,375,0.4965330720334387,0.4965330720334387,7864.421333333334,7864.421333333334,0.5132692227323215,0.5132692227323215,1.8312815675052134,1.8312815675052134,7268.250666666667,7268.250666666667
encoder2,zero,1.0,0.0,375,0.3463558816192536,0.3463558816192536,14109.818666666666,14109.818666666666,0.1382191527924526,0.1382191527924526,7.004811991643145,7.004811991643145,-179.56,-179.56
encoder3,zero,1.0,0.0,375,0.024174860277332642,0.024174860277332642,735.792,735.792,0.029270808186637562,0.029270808186637562,0.2794446673251425,0.2794446673251425,16.189333333333334,16.189333333333334
encoder4,zero,1.0,0.0,375,-1.7369236222167572e-05,-1.7369236222167572e-05,182.29066666666668,182.29066666666668,0.005054404928928672,0.005054404928928672,0.08300410488631157,0.08300410488631157,57.584,57.584
