direction_id,layer,edited_property,on_target_metric,metric,spearman_rho,p_value,is_on_target
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,boundary_complexity,-0.4285714285714286,0.3965014577259473,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,boundary_error_fraction,1.0,0.0,True
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,centroid_z,-1.0,0.0,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,dice,1.0,0.0,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,edema_fraction,-1.0,0.0,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,enhancing_fraction,1.0,0.0,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,false_negative_voxels,1.0,0.0,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,false_positive_voxels,-1.0,0.0,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,necrosis_fraction,1.0,0.0,False
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,tumor_volume,-1.0,0.0,False
decoder1::dice,decoder1,dice,dice,boundary_complexity,-0.08571428571428573,0.8717434402332361,False
decoder1::dice,decoder1,dice,dice,boundary_error_fraction,1.0,0.0,False
decoder1::dice,decoder1,dice,dice,centroid_z,-1.0,0.0,False
decoder1::dice,decoder1,dice,dice,dice,1.0,0.0,True
decoder1::dice,decoder1,dice,dice,edema_fraction,-1.0,0.0,False
decoder1::dice,decoder1,dice,dice,enhancing_fraction,1.0,0.0,False
decoder1::dice,decoder1,dice,dice,false_negative_voxels,1.0,0.0,False
decoder1::dice,decoder1,dice,dice,false_positive_voxels,-1.0,0.0,False
decoder1::dice,decoder1,dice,dice,necrosis_fraction,1.0,0.0,False
decoder1::dice,decoder1,dice,dice,tumor_volume,-1.0,0.0,False
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,boundary_complexity,-0.8285714285714287,0.04156268221574335,False
