layer,property_key,property_label,eval_metric,oof_r2,oof_mae,n_cases,cv_folds,readout_type,activation_channels,direction_path
decoder1,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.415330144239614,0.1295225261505069,375,5,gap,32,outputs_10hour/semantic_directions/directions/decoder1__boundary_error_fraction.npz
encoder3,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.39071348939361483,0.13022372464754048,375,5,gap,128,outputs_10hour/semantic_directions/directions/encoder3__boundary_error_fraction.npz
decoder2,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.34892044534159894,0.13330251203545523,375,5,gap,64,outputs_10hour/semantic_directions/directions/decoder2__boundary_error_fraction.npz
decoder3,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.32088264805604994,0.13609588686158852,375,5,gap,128,outputs_10hour/semantic_directions/directions/decoder3__boundary_error_fraction.npz
encoder4,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.3199467864727241,0.13539319854652626,375,5,gap,256,outputs_10hour/semantic_directions/directions/encoder4__boundary_error_fraction.npz
encoder2,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.285647570749616,0.13914247295380744,375,5,gap,64,outputs_10hour/semantic_directions/directions/encoder2__boundary_error_fraction.npz
decoder4,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.26190158930574703,0.1415339817415558,375,5,gap,256,outputs_10hour/semantic_directions/directions/decoder4__boundary_error_fraction.npz
bottleneck,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.21496135816966977,0.14409611643037748,375,5,linear_gap,512,outputs_10hour/semantic_directions/directions/bottleneck__boundary_error_fraction.npz
encoder1,boundary_error_fraction,Boundary error fraction,boundary_error_fraction,0.15478826886642993,0.15234720421835504,375,5,gap,32,outputs_10hour/semantic_directions/directions/encoder1__boundary_error_fraction.npz
decoder1,dice,Dice,dice,0.5647979596859799,0.05451649957688906,375,5,gap,32,outputs_10hour/semantic_directions/directions/decoder1__dice.npz
encoder3,dice,Dice,dice,0.47607365777814514,0.05604451576671836,375,5,gap,128,outputs_10hour/semantic_directions/directions/encoder3__dice.npz
decoder2,dice,Dice,dice,0.4181450298993734,0.0590378387926037,375,5,gap,64,outputs_10hour/semantic_directions/directions/decoder2__dice.npz
decoder3,dice,Dice,dice,0.39909124936141827,0.05887484295753521,375,5,gap,128,outputs_10hour/semantic_directions/directions/decoder3__dice.npz
encoder2,dice,Dice,dice,0.3596978662835709,0.06201579562221193,375,5,gap,64,outputs_10hour/semantic_directions/directions/encoder2__dice.npz
encoder4,dice,Dice,dice,0.33350190763236887,0.06141928175443898,375,5,gap,256,outputs_10hour/semantic_directions/directions/encoder4__dice.npz
bottleneck,dice,Dice,dice,0.2895454984572887,0.06353125143083538,375,5,linear_gap,512,outputs_10hour/semantic_directions/directions/bottleneck__dice.npz
decoder4,dice,Dice,dice,0.28407900278944687,0.06361422354360655,375,5,gap,256,outputs_10hour/semantic_directions/directions/decoder4__dice.npz
encoder1,dice,Dice,dice,0.23887069036794717,0.06601317462636974,375,5,gap,32,outputs_10hour/semantic_directions/directions/encoder1__dice.npz
decoder2,gt_compactness,Boundary complexity,boundary_complexity,0.42956711522305724,0.7368042653270878,375,5,gap,64,outputs_10hour/semantic_directions/directions/decoder2__gt_compactness.npz
decoder1,gt_compactness,Boundary complexity,boundary_complexity,0.2742986703468723,0.8334611894632199,375,5,gap,32,outputs_10hour/semantic_directions/directions/decoder1__gt_compactness.npz
encoder3,gt_compactness,Boundary complexity,boundary_complexity,0.2639487934926159,0.8273045165683305,375,5,gap,128,outputs_10hour/semantic_directions/directions/encoder3__gt_compactness.npz
encoder2,gt_compactness,Boundary complexity,boundary_complexity,0.22415211557482606,0.8442853285865831,375,5,gap,64,outputs_10hour/semantic_directions/directions/encoder2__gt_compactness.npz
decoder3,gt_compactness,Boundary complexity,boundary_complexity,0.16490414575286882,0.8853827517983758,375,5,gap,128,outputs_10hour/semantic_directions/directions/decoder3__gt_compactness.npz
decoder1,gt_edema_frac,Edema fraction,edema_fraction,0.5959336241925954,0.0985045589188574,375,5,gap,32,outputs_10hour/semantic_directions/directions/decoder1__gt_edema_frac.npz
decoder2,gt_edema_frac,Edema fraction,edema_fraction,0.5717908237623859,0.10516220183371638,375,5,gap,64,outputs_10hour/semantic_directions/directions/decoder2__gt_edema_frac.npz
encoder3,gt_edema_frac,Edema fraction,edema_fraction,0.4120501200049831,0.12206771343073501,375,5,gap,128,outputs_10hour/semantic_directions/directions/encoder3__gt_edema_frac.npz
encoder2,gt_edema_frac,Edema fraction,edema_fraction,0.363646828742472,0.12782510198997452,375,5,gap,64,outputs_10hour/semantic_directions/directions/encoder2__gt_edema_frac.npz
decoder3,gt_edema_frac,Edema fraction,edema_fraction,0.18339390162458857,0.15082573475856864,375,5,gap,128,outputs_10hour/semantic_directions/directions/decoder3__gt_edema_frac.npz
encoder1,gt_edema_frac,Edema fraction,edema_fraction,0.17996745103835532,0.1474717922511643,375,5,gap,32,outputs_10hour/semantic_directions/directions/encoder1__gt_edema_frac.npz
decoder1,gt_enhancing_frac,Enhancing fraction,enhancing_fraction,0.6473855945097491,0.06786009526376442,375,5,gap,32,outputs_10hour/semantic_directions/directions/decoder1__gt_enhancing_frac.npz
decoder2,gt_enhancing_frac,Enhancing fraction,enhancing_fraction,0.5229019771653388,0.08123531224927766,375,5,gap,64,outputs_10hour/semantic_directions/directions/decoder2__gt_enhancing_frac.npz
encoder2,gt_enhancing_frac,Enhancing fraction,enhancing_fraction,0.46629075874431536,0.08347627256336415,375,5,gap,64,outputs_10hour/semantic_directions/directions/encoder2__gt_enhancing_frac.npz
encoder1,gt_enhancing_frac,Enhancing fraction,enhancing_fraction,0.32416347381366484,0.09524659095105804,375,5,gap,32,outputs_10hour/semantic_directions/directions/encoder1__gt_enhancing_frac.npz
encoder3,gt_enhancing_frac,Enhancing fraction,enhancing_fraction,0.3069710823699685,0.0983688338074795,375,5,gap,128,outputs_10hour/semantic_directions/directions/encoder3__gt_enhancing_frac.npz
decoder3,gt_enhancing_frac,Enhancing fraction,enhancing_fraction,0.19955296274225853,0.10653872357769485,375,5,gap,128,outputs_10hour/semantic_directions/directions/decoder3__gt_enhancing_frac.npz
decoder1,gt_necrosis_frac,Necrosis fraction,necrosis_fraction,0.524563835377519,0.06590331717635511,375,5,gap,32,outputs_10hour/semantic_directions/directions/decoder1__gt_necrosis_frac.npz
decoder2,gt_necrosis_frac,Necrosis fraction,necrosis_fraction,0.47500147847651875,0.07281569073078765,375,5,gap,64,outputs_10hour/semantic_directions/directions/decoder2__gt_necrosis_frac.npz
encoder3,gt_necrosis_frac,Necrosis fraction,necrosis_fraction,0.33831975588497554,0.08776792104451446,375,5,gap,128,outputs_10hour/semantic_directions/directions/encoder3__gt_necrosis_frac.npz
encoder2,gt_necrosis_frac,Necrosis fraction,necrosis_fraction,0.33764261760695,0.08471076612364609,375,5,gap,64,outputs_10hour/semantic_directions/directions/encoder2__gt_necrosis_frac.npz
decoder3,gt_necrosis_frac,Necrosis fraction,necrosis_fraction,0.24236930904536624,0.09460875285339813,375,5,gap,128,outputs_10hour/semantic_directions/directions/decoder3__gt_necrosis_frac.npz
decoder2,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.8223748509045932,2317.4588346354167,375,5,gap,64,outputs_10hour/semantic_directions/directions/decoder2__gt_wt_voxels.npz
decoder1,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.8048284534078287,2325.4545208333334,375,5,gap,32,outputs_10hour/semantic_directions/directions/decoder1__gt_wt_voxels.npz
encoder3,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.7106356196123003,3001.164078125,375,5,gap,128,outputs_10hour/semantic_directions/directions/encoder3__gt_wt_voxels.npz
encoder2,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.6903939446310842,3121.8771328125,375,5,gap,64,outputs_10hour/semantic_directions/directions/encoder2__gt_wt_voxels.npz
decoder3,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.6733196943926385,3212.8945325520835,375,5,gap,128,outputs_10hour/semantic_directions/directions/decoder3__gt_wt_voxels.npz
encoder1,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.5783559943143288,3539.601880208333,375,5,gap,32,outputs_10hour/semantic_directions/directions/encoder1__gt_wt_voxels.npz
encoder4,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.5051888530298616,3911.3756315104165,375,5,gap,256,outputs_10hour/semantic_directions/directions/encoder4__gt_wt_voxels.npz
decoder4,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.3910529171117081,4475.617049479167,375,5,gap,256,outputs_10hour/semantic_directions/directions/decoder4__gt_wt_voxels.npz
bottleneck,gt_wt_voxels,Whole-tumor volume,tumor_volume,0.24021137806699777,4902.0317005208335,375,5,linear_gap,512,outputs_10hour/semantic_directions/directions/bottleneck__gt_wt_voxels.npz
