method,failure_def,model_seed,auroc,auprc,brier,sensitivity,specificity,ppv,npv,calibration_slope,calibration_intercept,auprc_ci_low,auprc_ci_high,auroc_ci_low,auroc_ci_high,capture_at_10,capture_at_20,capture_at_30,capture20_ci_low,capture20_ci_high,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,aurc_ci_low,aurc_ci_high,dice80_ci_low,dice80_ci_high,n_pos
confidence,lowest20_mean_fg,42,0.9304889741131352,0.8058813622298686,0.10170292292543633,0.8311688311688312,0.8624161073825504,0.6095238095238096,0.9518518518518518,0.89644227078636,-0.09609556691871449,0.719846929016522,0.8788102420603837,0.8979846192022324,0.9588631729220446,0.44155844155844154,0.7142857142857143,0.8701298701298701,0.61643437400446,0.8088410364145656,0.11477444909262755,0.888760139845289,0.8759377573298646,0.8582724668606405,0.8320776992379114,0.10738763045884196,0.12365646491501851,0.8431817277583991,0.8703994151560495,77
morphology,lowest20_mean_fg,42,0.865510328597577,0.7256634750941189,0.13687132717440081,0.7662337662337663,0.8322147651006712,0.5412844036697247,0.9323308270676691,0.8996381188678884,-0.13217180838197076,0.6288083545298586,0.8125146722876784,0.8090614677486145,0.9145188216071216,0.4025974025974026,0.6753246753246753,0.7662337662337663,0.575747198007472,0.7575757575757576,0.12989109684535813,0.8749716292545052,0.8616810739538712,0.8528356995072109,0.8299614919072448,0.1188078901524948,0.14371864494977962,0.8394014766950891,0.8644763252285885,77
consistency,lowest20_mean_fg,42,0.8418460733896975,0.7245860550454545,0.12739890707700963,0.7012987012987013,0.8624161073825504,0.5684210526315789,0.9178571428571428,0.8010913638738532,-0.06314385583695323,0.6326829952993535,0.8081681987644576,0.7814098909820479,0.8976022267937025,0.4155844155844156,0.6493506493506493,0.7402597402597403,0.5569584292289989,0.7397260273972602,0.13745503859366384,0.8562884938672923,0.8521430562902612,0.8465433670400648,0.831311299979564,0.1262888666404842,0.14988157500892363,0.833826461138894,0.8587986603284845,77
conf_morph,lowest20_mean_fg,42,0.9543275516429879,0.8483971814474285,0.0774237842085961,0.8441558441558441,0.9093959731543624,0.7065217391304348,0.9575971731448764,0.8554446662434625,-0.029984032435158875,0.7719654033235351,0.9129510020873073,0.9322300406814137,0.9737206513544454,0.44155844155844154,0.7532467532467533,0.922077922077922,0.6555459770114943,0.863013698630137,0.11136468323068169,0.8963648281565534,0.8785724322286638,0.8591658696588369,0.8354034042670032,0.10470677725708112,0.11907468218261084,0.8460391205638893,0.8713901173267093,77
conf_pooled,lowest20_mean_fg,42,0.9469188529591214,0.8539527813885985,0.07955147240679397,0.8571428571428571,0.889261744966443,0.6666666666666666,0.9601449275362319,0.8813373573584403,-0.0409878360459727,0.7800777317596157,0.9134640653591952,0.9193037899392997,0.9709540173457699,0.4675324675324675,0.7402597402597403,0.8961038961038961,0.6666666666666666,0.8529509803921567,0.11196936500511052,0.8939174325745833,0.8754838278561656,0.8578497669768077,0.8377386458366542,0.10510058525783794,0.11959813236797101,0.8458624692766441,0.8707806930375845,77
conf_consistency,lowest20_mean_fg,42,0.9655713414102676,0.893144546791888,0.06438149687142035,0.8441558441558441,0.912751677852349,0.7142857142857143,0.9577464788732394,0.891630280473052,-0.02975986282172427,0.8317252178454042,0.9427618641801588,0.9436300337973766,0.9826778223559767,0.4675324675324675,0.7792207792207793,0.961038961038961,0.7011494252873564,0.8695652173913043,0.11435437169181499,0.888961350547341,0.878071350191153,0.8605475094136481,0.8341793577428392,0.10725065839073247,0.12239208127606455,0.8481937619940828,0.8721061867358102,77
conf_morph_consistency,lowest20_mean_fg,42,0.9579447398239345,0.8823427302357062,0.06909842957404908,0.922077922077922,0.9093959731543624,0.7244897959183674,0.9783393501805054,0.9006332222093111,-0.04289075202534012,0.8197618493287296,0.934316841001916,0.9297856544256122,0.9800995025864369,0.45454545454545453,0.7922077922077922,0.935064935064935,0.6842105263157895,0.890625,0.109932210092274,0.8958251675053546,0.8787406513868543,0.8619558724130748,0.8356207623937352,0.10315921272023554,0.1177457715867798,0.8464648195482715,0.8739474085899164,77
confidence,mean_fg_lt_0.80,42,0.9302792716905331,0.8750423252291567,0.09761306118249927,0.8360655737704918,0.9051383399209486,0.8095238095238095,0.9196787148594378,1.0444213178687378,-0.09182413235329223,0.8114798590964263,0.9275296489252275,0.8976689525069528,0.9572258705669318,0.29508196721311475,0.5573770491803278,0.7704918032786885,0.49599495798319326,0.6470588235294118,0.11186668383393819,0.895596427912463,0.8763615522765049,0.857102256456806,0.8313211839321459,0.10404143001151309,0.12019554631875592,0.8421913248967167,0.8701610300906791,122
morphology,mean_fg_lt_0.80,42,0.8340244929696107,0.7844189146535745,0.15978911230963172,0.7295081967213115,0.7786561264822134,0.6137931034482759,0.8565217391304348,1.0302854549497134,-0.13016712698649596,0.717075450466088,0.8438588719910568,0.7846059071370243,0.8809447425610534,0.28688524590163933,0.5327868852459017,0.6557377049180327,0.4701492537313433,0.6018518518518519,0.1268360576908186,0.8768937671463894,0.8619660999675546,0.8514398719893534,0.8306220299872508,0.11568214154815563,0.13943822690423982,0.8377209797539894,0.8642667697017635,122
consistency,mean_fg_lt_0.80,42,0.7936888485712434,0.7339324517298583,0.16987624929863532,0.6229508196721312,0.8181818181818182,0.6229508196721312,0.8181818181818182,0.8907737300590934,-0.05808499977424447,0.6613099443405395,0.8016088885197541,0.7411685967178983,0.843830847723705,0.28688524590163933,0.4672131147540984,0.6065573770491803,0.4112085520419921,0.5378312863606979,0.13618424928451364,0.8662812947665227,0.8518765356839032,0.8462341900382425,0.8302821556658153,0.12515880267708251,0.14837461373960847,0.8323666671677385,0.8584971652276677,122
conf_morph,mean_fg_lt_0.80,42,0.9504632929436921,0.9114551720810348,0.08557217524168505,0.860655737704918,0.8972332015810277,0.8015267175572519,0.930327868852459,0.9880543758304074,-0.056676252450523545,0.8693324964401259,0.945641769040067,0.9282660314565078,0.9694076165290052,0.30327868852459017,0.5819672131147541,0.7868852459016393,0.5138841324200912,0.6601941747572816,0.10804310818057412,0.8982672266460363,0.8788783306825891,0.8582143453684159,0.832204158159909,0.10112066424567019,0.11566937696735727,0.8445550956570562,0.8711338281884162,122
conf_pooled,mean_fg_lt_0.80,42,0.9152141514935528,0.8788407583515044,0.10197744412498266,0.8278688524590164,0.8814229249011858,0.7709923664122137,0.9139344262295082,0.9442964218491162,-0.02971469480220268,0.8285405967809196,0.9244655586606328,0.8783530846681974,0.9485303366209187,0.30327868852459017,0.5655737704918032,0.7540983606557377,0.5072437888198759,0.6448746813933728,0.11295160377343712,0.8951121895180584,0.8770987265651251,0.8599411887455843,0.8321775696091374,0.10557734716429817,0.12106821457468106,0.8465839385160744,0.8716588658903809,122
conf_consistency,mean_fg_lt_0.80,42,0.936532106524979,0.8952039961812297,0.09064041424739541,0.8442622950819673,0.9090909090909091,0.8174603174603174,0.9236947791164659,1.0104768802941797,-0.06268649185266184,0.8460582745629636,0.936009686946058,0.9086819464586345,0.9611571287553042,0.30327868852459017,0.5737704918032787,0.7950819672131147,0.5071428571428571,0.6504854368932039,0.110692821046397,0.8957423247276507,0.8789263296553027,0.8617167958315046,0.8352185120068997,0.10403051953430137,0.11830135577747605,0.8457166835382506,0.8726921170023098,122
conf_morph_consistency,mean_fg_lt_0.80,42,0.9542538715739001,0.9197649617270025,0.0803756618906378,0.8688524590163934,0.9051383399209486,0.8153846153846154,0.9346938775510204,1.0144154693200427,-0.05817044434616414,0.8789583118792772,0.9535764308243952,0.9326452092088328,0.972700065740773,0.3114754098360656,0.5901639344262295,0.8032786885245902,0.5182481751824818,0.6666666666666666,0.1057778543983303,0.8998702421745489,0.8798289394197499,0.8620555832054424,0.8352340935761173,0.09943136492749534,0.11314245727725344,0.8468321336547135,0.8733467648166714,122
confidence,mean_fg_lt_0.70,42,0.927061598475914,0.7614500094917455,0.09999924586606751,0.7808219178082192,0.8609271523178808,0.5757575757575758,0.9420289855072463,0.8021131772701763,-0.05232989180290121,0.6582863251376528,0.8531846309737656,0.8911187913819165,0.9571173975275754,0.4246575342465753,0.7123287671232876,0.8493150684931506,0.6219512195121951,0.8103448275862069,0.11473642892270604,0.8903967638442963,0.8741001104614131,0.8586314278793675,0.8341955075450089,0.10719362174639599,0.12393313612888791,0.8437007684870517,0.8699139295751376,73
morphology,mean_fg_lt_0.70,42,0.8744443436451057,0.7320540068560808,0.13136497562291935,0.7945205479452054,0.8509933774834437,0.5631067961165048,0.9448529411764706,0.905406063012213,-0.13847887977765416,0.6285184344573347,0.8209905057577959,0.8179634763544034,0.9230906828779454,0.3972602739726027,0.6986301369863014,0.7945205479452054,0.597217039800995,0.7868852459016393,0.13046678019182575,0.873797347658987,0.8626411567979624,0.8531066875815771,0.8299385214877546,0.11845120403800008,0.14433901199171728,0.8398639839325164,0.8648575657831548,73
consistency,mean_fg_lt_0.70,42,0.8423750340197768,0.7235376561149239,0.12691851612777114,0.6986301369863014,0.8576158940397351,0.5425531914893617,0.9217081850533808,0.775371621596256,-0.06439849467110864,0.6286229581687092,0.8107490890567431,0.777380805202358,0.900449627735152,0.4520547945205479,0.6575342465753424,0.7671232876712328,0.5633762344180023,0.7540983606557377,0.13823580458369827,0.857161549890842,0.852672992203103,0.8456082100686658,0.8324930205613187,0.126476202017382,0.1509884714255834,0.8310222821563886,0.8569395805720424,73
conf_morph,mean_fg_lt_0.70,42,0.9585865916719587,0.8465662414223538,0.07525665371139643,0.863013698630137,0.9105960264900662,0.7,0.9649122807017544,0.8488069041564346,-0.03237238716649596,0.7717917969668859,0.9097602614613024,0.9378976525119617,0.9757403090736424,0.4520547945205479,0.7671232876712328,0.9315068493150684,0.6703296703296703,0.8800149253731341,0.11064844727761931,0.8972093810493722,0.8776691616599083,0.8591943672817164,0.8347868789580429,0.10364929706062014,0.118199792266058,0.8454776416443889,0.8724772027700909,73
