failure_def,model_seed,method_a,method_b,metric,diff_mean,ci_low,ci_high,frac_a_better
lowest20_mean_fg,42,conf_consistency,confidence,auprc_diff,0.08669098561887277,0.03194569753745705,0.14641799150349472,0.9984
lowest20_mean_fg,42,conf_consistency,confidence,capture20_diff,0.07555625476007136,0.0,0.1549524419242726,0.9514
lowest20_mean_fg,42,conf_consistency,confidence,aurc_diff,0.0007640997235283996,-0.004571571777875608,0.006010072835255908,0.6106
lowest20_mean_fg,42,conf_consistency,confidence,dice80_diff,0.002918356202840177,-0.0012658752894947,0.007867976065331503,0.9114
lowest20_mean_fg,42,conf_consistency,conf_morph,auprc_diff,0.044511584393620775,-0.005836809227360079,0.09752748981017274,0.9604
lowest20_mean_fg,42,conf_consistency,conf_morph,capture20_diff,0.026289472438614923,-0.0625,0.1071428571428571,0.6914
lowest20_mean_fg,42,conf_consistency,conf_morph,aurc_diff,-0.0029471592177757323,-0.007364823666470714,0.0012092382514304607,0.0886
lowest20_mean_fg,42,conf_consistency,conf_morph,dice80_diff,0.001151911812392864,-0.0029908010000751824,0.005304926008123331,0.7112
lowest20_mean_fg,42,conf_consistency,conf_pooled,auprc_diff,0.03856899550682591,-0.016512565828645954,0.0961343411879851,0.9214
lowest20_mean_fg,42,conf_consistency,conf_pooled,capture20_diff,0.026927218414021483,-0.05405405405405406,0.1058868092691622,0.691
lowest20_mean_fg,42,conf_consistency,conf_pooled,aurc_diff,-0.0022629705779155236,-0.006577835961590433,0.0016796007120909698,0.1426
lowest20_mean_fg,42,conf_consistency,conf_pooled,dice80_diff,0.0019588241727812716,-0.0025364247591353776,0.006900749370683984,0.7958
lowest20_mean_fg,42,conf_morph_consistency,conf_consistency,auprc_diff,-0.011261916400094774,-0.04933390501323073,0.02683584740321382,0.287
lowest20_mean_fg,42,conf_morph_consistency,conf_consistency,capture20_diff,0.00165104192151354,-0.06666666666666665,0.07894736842105265,0.4294
lowest20_mean_fg,42,conf_morph_consistency,conf_consistency,aurc_diff,0.004159773458505551,-0.00034711138906337135,0.008708478009039731,0.9632
lowest20_mean_fg,42,conf_morph_consistency,conf_consistency,dice80_diff,0.00024722366855100625,-0.004725645135919165,0.00422192204720504,0.5824
lowest20_mean_fg,42,consistency,morphology,auprc_diff,-0.003489213745908015,-0.09455125159228513,0.08594697694947663,0.4764
lowest20_mean_fg,42,consistency,morphology,capture20_diff,-0.019722069531044766,-0.11844560094265517,0.07894736842105254,0.2976
lowest20_mean_fg,42,consistency,morphology,aurc_diff,-0.007289041985006311,-0.018351487420876444,0.003856996262082646,0.0994
lowest20_mean_fg,42,consistency,morphology,dice80_diff,-0.005949100706861172,-0.013292488079513423,0.0010798021691826325,0.0494
mean_fg_lt_0.80,42,conf_consistency,confidence,auprc_diff,0.018943173991718253,-0.013955252977267565,0.05395156723918231,0.866
mean_fg_lt_0.80,42,conf_consistency,confidence,capture20_diff,0.010703139150106145,-0.02380952380952373,0.046511627906976716,0.656
mean_fg_lt_0.80,42,conf_consistency,confidence,aurc_diff,0.0009659481466847719,-0.001872534792341477,0.0044424356699918136,0.7162
mean_fg_lt_0.80,42,conf_consistency,confidence,dice80_diff,0.003908069996693526,-0.00036734376550432986,0.008410768054826203,0.9632
mean_fg_lt_0.80,42,conf_consistency,conf_morph,auprc_diff,-0.016120903815093703,-0.04210059453431496,0.006055084063956818,0.0808
mean_fg_lt_0.80,42,conf_consistency,conf_morph,capture20_diff,-0.0066857551621044365,-0.040820508531281406,0.024590163934426257,0.228
mean_fg_lt_0.80,42,conf_consistency,conf_morph,aurc_diff,-0.0028203430672655316,-0.005535283766214399,-9.420406322986913e-05,0.0208
mean_fg_lt_0.80,42,conf_consistency,conf_morph,dice80_diff,0.0025088607947515605,-0.00207317137377786,0.006941220144997299,0.8644
mean_fg_lt_0.80,42,conf_consistency,conf_pooled,auprc_diff,0.01629036451247703,-0.023449014056547774,0.053648382953272886,0.81
mean_fg_lt_0.80,42,conf_consistency,conf_pooled,capture20_diff,0.003520303315161762,-0.03875968992248069,0.048001923076923095,0.4744
mean_fg_lt_0.80,42,conf_consistency,conf_pooled,aurc_diff,0.0020777545449978557,-0.0015381330680291692,0.006073009266842194,0.8614
mean_fg_lt_0.80,42,conf_consistency,conf_pooled,dice80_diff,0.001104903427060306,-0.004520824876847243,0.006330878590411645,0.6676
mean_fg_lt_0.80,42,conf_morph_consistency,conf_consistency,auprc_diff,0.02442151719499128,0.007909207373110983,0.04385920202823384,0.999
mean_fg_lt_0.80,42,conf_morph_consistency,conf_consistency,capture20_diff,0.014231733154297925,-0.008620689655172376,0.0434877955758962,0.7834
mean_fg_lt_0.80,42,conf_morph_consistency,conf_consistency,aurc_diff,0.005001287658301263,0.0031179647019131374,0.007030616287094283,1.0
mean_fg_lt_0.80,42,conf_morph_consistency,conf_consistency,dice80_diff,0.0005965993630288622,-0.002376258289486116,0.003903896174421221,0.6482
mean_fg_lt_0.80,42,consistency,morphology,auprc_diff,-0.050371997820070985,-0.11165324881496898,0.007438728465304847,0.0464
mean_fg_lt_0.80,42,consistency,morphology,capture20_diff,-0.060318572275101075,-0.12381163084702908,0.0,0.0144
mean_fg_lt_0.80,42,consistency,morphology,aurc_diff,-0.009621682591523038,-0.019246322687849853,-0.0001925698726037434,0.0218
mean_fg_lt_0.80,42,consistency,morphology,dice80_diff,-0.005589124788126274,-0.012916639592077145,0.0018787611127874745,0.0654
mean_fg_lt_0.70,42,conf_consistency,confidence,auprc_diff,0.1250200989666481,0.06362789475532349,0.19788984952402686,1.0
