method,failure_def,model_seed,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,capture_at_10,capture_at_20,capture_at_30
confidence,lowest20_mean_fg,42,0.11477444909262755,0.888760139845289,0.8759377573298646,0.8582724668606405,0.8320776992379114,0.44155844155844154,0.7142857142857143,0.8701298701298701
morphology,lowest20_mean_fg,42,0.12989109684535813,0.8749716292545052,0.8616810739538712,0.8528356995072109,0.8299614919072448,0.4025974025974026,0.6753246753246753,0.7662337662337663
consistency,lowest20_mean_fg,42,0.13745503859366384,0.8562884938672923,0.8521430562902612,0.8465433670400648,0.831311299979564,0.4155844155844156,0.6493506493506493,0.7402597402597403
conf_morph,lowest20_mean_fg,42,0.11136468323068169,0.8963648281565534,0.8785724322286638,0.8591658696588369,0.8354034042670032,0.44155844155844154,0.7532467532467533,0.922077922077922
conf_pooled,lowest20_mean_fg,42,0.11196936500511052,0.8939174325745833,0.8754838278561656,0.8578497669768077,0.8377386458366542,0.4675324675324675,0.7402597402597403,0.8961038961038961
conf_consistency,lowest20_mean_fg,42,0.11435437169181499,0.888961350547341,0.878071350191153,0.8605475094136481,0.8341793577428392,0.4675324675324675,0.7792207792207793,0.961038961038961
conf_morph_consistency,lowest20_mean_fg,42,0.109932210092274,0.8958251675053546,0.8787406513868543,0.8619558724130748,0.8356207623937352,0.45454545454545453,0.7922077922077922,0.935064935064935
confidence,mean_fg_lt_0.80,42,0.11186668383393819,0.895596427912463,0.8763615522765049,0.857102256456806,0.8313211839321459,0.29508196721311475,0.5573770491803278,0.7704918032786885
morphology,mean_fg_lt_0.80,42,0.1268360576908186,0.8768937671463894,0.8619660999675546,0.8514398719893534,0.8306220299872508,0.28688524590163933,0.5327868852459017,0.6557377049180327
consistency,mean_fg_lt_0.80,42,0.13618424928451364,0.8662812947665227,0.8518765356839032,0.8462341900382425,0.8302821556658153,0.28688524590163933,0.4672131147540984,0.6065573770491803
conf_morph,mean_fg_lt_0.80,42,0.10804310818057412,0.8982672266460363,0.8788783306825891,0.8582143453684159,0.832204158159909,0.30327868852459017,0.5819672131147541,0.7868852459016393
conf_pooled,mean_fg_lt_0.80,42,0.11295160377343712,0.8951121895180584,0.8770987265651251,0.8599411887455843,0.8321775696091374,0.30327868852459017,0.5655737704918032,0.7540983606557377
conf_consistency,mean_fg_lt_0.80,42,0.110692821046397,0.8957423247276507,0.8789263296553027,0.8617167958315046,0.8352185120068997,0.30327868852459017,0.5737704918032787,0.7950819672131147
conf_morph_consistency,mean_fg_lt_0.80,42,0.1057778543983303,0.8998702421745489,0.8798289394197499,0.8620555832054424,0.8352340935761173,0.3114754098360656,0.5901639344262295,0.8032786885245902
confidence,mean_fg_lt_0.70,42,0.11473642892270604,0.8903967638442963,0.8741001104614131,0.8586314278793675,0.8341955075450089,0.4246575342465753,0.7123287671232876,0.8493150684931506
morphology,mean_fg_lt_0.70,42,0.13046678019182575,0.873797347658987,0.8626411567979624,0.8531066875815771,0.8299385214877546,0.3972602739726027,0.6986301369863014,0.7945205479452054
consistency,mean_fg_lt_0.70,42,0.13823580458369827,0.857161549890842,0.852672992203103,0.8456082100686658,0.8324930205613187,0.4520547945205479,0.6575342465753424,0.7671232876712328
conf_morph,mean_fg_lt_0.70,42,0.11064844727761931,0.8972093810493722,0.8776691616599083,0.8591943672817164,0.8347868789580429,0.4520547945205479,0.7671232876712328,0.9315068493150684
conf_pooled,mean_fg_lt_0.70,42,0.1126114624015446,0.8939624979348944,0.8754364069771805,0.8598536901862353,0.836808484342665,0.4794520547945205,0.7671232876712328,0.9041095890410958
conf_consistency,mean_fg_lt_0.70,42,0.11608092584850202,0.8935189890072245,0.8799344959450952,0.8622372174766015,0.836975330850796,0.4794520547945205,0.821917808219178,0.9863013698630136
conf_morph_consistency,mean_fg_lt_0.70,42,0.11623431728996729,0.8888788815773948,0.8787753683810461,0.8615401395970014,0.8358964522056611,0.4794520547945205,0.821917808219178,0.9726027397260274
confidence,edema_lt_0.70,42,0.11132655692847389,0.8928886232935207,0.8764276695860231,0.8557666562708198,0.8296906362893359,0.4111111111111111,0.6666666666666666,0.8444444444444444
morphology,edema_lt_0.70,42,0.13630195090334163,0.8641547679766173,0.8564689109824973,0.8418229002686239,0.8215639541393744,0.36666666666666664,0.6333333333333333,0.8
consistency,edema_lt_0.70,42,0.15428815959775632,0.8486503363201926,0.8438165421633697,0.8376522602941012,0.8239972586862232,0.32222222222222224,0.5333333333333333,0.7111111111111111
conf_morph,edema_lt_0.70,42,0.11520145191488311,0.8862891448870011,0.8642745703190193,0.8522823962987438,0.8298718586340146,0.4,0.7222222222222222,0.8666666666666667
conf_pooled,edema_lt_0.70,42,0.12500616678793866,0.878933493354846,0.8636116510083607,0.8473697895964442,0.8260955402640864,0.36666666666666664,0.6555555555555556,0.8
conf_consistency,edema_lt_0.70,42,0.11583163471781875,0.8924292795265613,0.868003607193384,0.8498911463884998,0.8296768803211985,0.3888888888888889,0.7,0.8444444444444444
conf_morph_consistency,edema_lt_0.70,42,0.1197001026630009,0.8890565877508616,0.8631781209097503,0.8497203245409395,0.8262761415938812,0.3888888888888889,0.6777777777777778,0.8666666666666667
confidence,lowest20_edema,42,0.11250449283020889,0.8911808464714142,0.8713223841159761,0.8543640960679582,0.8299299827204161,0.42857142857142855,0.7012987012987013,0.8311688311688312
morphology,lowest20_edema,42,0.13563801144849133,0.861899672180763,0.8518330901261383,0.8429085266279789,0.8207171024702274,0.4025974025974026,0.6753246753246753,0.8051948051948052
consistency,lowest20_edema,42,0.1559908641951735,0.855475274390193,0.8467435593206378,0.8384560086577401,0.8220729945524702,0.36363636363636365,0.5324675324675324,0.7402597402597403
conf_morph,lowest20_edema,42,0.12147466348000574,0.8868187339570351,0.8649041138094238,0.8490791434555396,0.8272757842942754,0.4675324675324675,0.7142857142857143,0.8571428571428571
conf_pooled,lowest20_edema,42,0.12674010860974996,0.8787855928759536,0.8623402906873893,0.8449065702994105,0.8255107287800214,0.4155844155844156,0.6883116883116883,0.7532467532467533
conf_consistency,lowest20_edema,42,0.12430564391573427,0.8782622955630957,0.862962370233915,0.8490630392951073,0.8285295323513896,0.38961038961038963,0.7012987012987013,0.8311688311688312
conf_morph_consistency,lowest20_edema,42,0.12345547303971358,0.8878500948259664,0.8612625269092348,0.8485403249662418,0.8279602092817796,0.44155844155844154,0.7012987012987013,0.8441558441558441
