outer_fold,model_seed,selected_mode,n_features,feature,selected
0,42,all,20.0,,
0,42,all,,absolute_gap_gt_compactness,1.0
0,42,all,,absolute_gap_gt_edema_frac,1.0
0,42,all,,absolute_gap_gt_enhancing_frac,1.0
0,42,all,,absolute_gap_gt_necrosis_frac,1.0
0,42,all,,absolute_gap_log_wt_volume,1.0
0,42,all,,relative_gap_gt_compactness,1.0
0,42,all,,relative_gap_gt_edema_frac,1.0
0,42,all,,relative_gap_gt_enhancing_frac,1.0
0,42,all,,relative_gap_gt_necrosis_frac,1.0
0,42,all,,relative_gap_log_wt_volume,1.0
0,42,all,,signed_gap_gt_compactness,1.0
0,42,all,,signed_gap_gt_edema_frac,1.0
0,42,all,,signed_gap_gt_enhancing_frac,1.0
0,42,all,,signed_gap_gt_necrosis_frac,1.0
0,42,all,,signed_gap_log_wt_volume,1.0
0,42,all,,standardized_gap_gt_compactness,1.0
0,42,all,,standardized_gap_gt_edema_frac,1.0
0,42,all,,standardized_gap_gt_enhancing_frac,1.0
0,42,all,,standardized_gap_gt_necrosis_frac,1.0
0,42,all,,standardized_gap_log_wt_volume,1.0
1,42,all,20.0,,
1,42,all,,absolute_gap_gt_compactness,1.0
1,42,all,,absolute_gap_gt_edema_frac,1.0
1,42,all,,absolute_gap_gt_enhancing_frac,1.0
1,42,all,,absolute_gap_gt_necrosis_frac,1.0
1,42,all,,absolute_gap_log_wt_volume,1.0
1,42,all,,relative_gap_gt_compactness,1.0
1,42,all,,relative_gap_gt_edema_frac,1.0
1,42,all,,relative_gap_gt_enhancing_frac,1.0
1,42,all,,relative_gap_gt_necrosis_frac,1.0
1,42,all,,relative_gap_log_wt_volume,1.0
1,42,all,,signed_gap_gt_compactness,1.0
1,42,all,,signed_gap_gt_edema_frac,1.0
1,42,all,,signed_gap_gt_enhancing_frac,1.0
1,42,all,,signed_gap_gt_necrosis_frac,1.0
1,42,all,,signed_gap_log_wt_volume,1.0
1,42,all,,standardized_gap_gt_compactness,1.0
1,42,all,,standardized_gap_gt_edema_frac,1.0
1,42,all,,standardized_gap_gt_enhancing_frac,1.0
1,42,all,,standardized_gap_gt_necrosis_frac,1.0
1,42,all,,standardized_gap_log_wt_volume,1.0
2,42,all,20.0,,
2,42,all,,absolute_gap_gt_compactness,1.0
2,42,all,,absolute_gap_gt_edema_frac,1.0
2,42,all,,absolute_gap_gt_enhancing_frac,1.0
2,42,all,,absolute_gap_gt_necrosis_frac,1.0
2,42,all,,absolute_gap_log_wt_volume,1.0
2,42,all,,relative_gap_gt_compactness,1.0
2,42,all,,relative_gap_gt_edema_frac,1.0
2,42,all,,relative_gap_gt_enhancing_frac,1.0
2,42,all,,relative_gap_gt_necrosis_frac,1.0
2,42,all,,relative_gap_log_wt_volume,1.0
2,42,all,,signed_gap_gt_compactness,1.0
2,42,all,,signed_gap_gt_edema_frac,1.0
2,42,all,,signed_gap_gt_enhancing_frac,1.0
2,42,all,,signed_gap_gt_necrosis_frac,1.0
2,42,all,,signed_gap_log_wt_volume,1.0
2,42,all,,standardized_gap_gt_compactness,1.0
2,42,all,,standardized_gap_gt_edema_frac,1.0
2,42,all,,standardized_gap_gt_enhancing_frac,1.0
2,42,all,,standardized_gap_gt_necrosis_frac,1.0
2,42,all,,standardized_gap_log_wt_volume,1.0
3,42,elasticnet,20.0,,
3,42,elasticnet,,absolute_gap_gt_compactness,1.0
3,42,elasticnet,,absolute_gap_gt_edema_frac,1.0
3,42,elasticnet,,absolute_gap_gt_enhancing_frac,1.0
3,42,elasticnet,,absolute_gap_gt_necrosis_frac,1.0
3,42,elasticnet,,absolute_gap_log_wt_volume,1.0
3,42,elasticnet,,relative_gap_gt_compactness,1.0
3,42,elasticnet,,relative_gap_gt_edema_frac,1.0
3,42,elasticnet,,relative_gap_gt_enhancing_frac,1.0
3,42,elasticnet,,relative_gap_gt_necrosis_frac,1.0
3,42,elasticnet,,relative_gap_log_wt_volume,1.0
3,42,elasticnet,,signed_gap_gt_compactness,1.0
3,42,elasticnet,,signed_gap_gt_edema_frac,1.0
3,42,elasticnet,,signed_gap_gt_enhancing_frac,1.0
3,42,elasticnet,,signed_gap_gt_necrosis_frac,1.0
3,42,elasticnet,,signed_gap_log_wt_volume,1.0
3,42,elasticnet,,standardized_gap_gt_compactness,1.0
3,42,elasticnet,,standardized_gap_gt_edema_frac,1.0
3,42,elasticnet,,standardized_gap_gt_enhancing_frac,1.0
3,42,elasticnet,,standardized_gap_gt_necrosis_frac,1.0
3,42,elasticnet,,standardized_gap_log_wt_volume,1.0
4,42,all,20.0,,
4,42,all,,absolute_gap_gt_compactness,1.0
4,42,all,,absolute_gap_gt_edema_frac,1.0
4,42,all,,absolute_gap_gt_enhancing_frac,1.0
4,42,all,,absolute_gap_gt_necrosis_frac,1.0
4,42,all,,absolute_gap_log_wt_volume,1.0
4,42,all,,relative_gap_gt_compactness,1.0
4,42,all,,relative_gap_gt_edema_frac,1.0
4,42,all,,relative_gap_gt_enhancing_frac,1.0
4,42,all,,relative_gap_gt_necrosis_frac,1.0
4,42,all,,relative_gap_log_wt_volume,1.0
4,42,all,,signed_gap_gt_compactness,1.0
4,42,all,,signed_gap_gt_edema_frac,1.0
4,42,all,,signed_gap_gt_enhancing_frac,1.0
4,42,all,,signed_gap_gt_necrosis_frac,1.0
4,42,all,,signed_gap_log_wt_volume,1.0
4,42,all,,standardized_gap_gt_compactness,1.0
4,42,all,,standardized_gap_gt_edema_frac,1.0
4,42,all,,standardized_gap_gt_enhancing_frac,1.0
4,42,all,,standardized_gap_gt_necrosis_frac,1.0
4,42,all,,standardized_gap_log_wt_volume,1.0
