method,failure_def,model_seed,auroc,auprc,brier,sensitivity,specificity,ppv,npv,calibration_slope,calibration_intercept,auprc_ci_low,auprc_ci_high,auroc_ci_low,auroc_ci_high,capture_at_10,capture_at_20,capture_at_30,capture20_ci_low,capture20_ci_high,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,aurc_ci_low,aurc_ci_high,dice80_ci_low,dice80_ci_high,n_pos
confidence,lowest20_mean_fg,42,0.9306632964351085,0.8050893327633569,0.10174383536820131,0.8311688311688312,0.8657718120805369,0.6153846153846154,0.9520295202952029,0.8965760961604974,-0.09622939643800879,0.7184217000100553,0.8782901286368557,0.8981192674754019,0.9588222355963818,0.44155844155844154,0.7142857142857143,0.8701298701298701,0.6153846153846154,0.8088235294117647,0.11487521435907015,0.888760139845289,0.8759377573298646,0.8582724668606405,0.8320776992379114,0.10738234650405708,0.12362546276990447,0.8431694512793575,0.8704105546272624,77
morphology,lowest20_mean_fg,42,0.8655539091780703,0.7259568137062786,0.13685005945725603,0.7662337662337663,0.8322147651006712,0.5412844036697247,0.9323308270676691,0.8996666799388202,-0.1321947504434515,0.6292357547020407,0.8128728186514108,0.8089006734006734,0.9148038272205606,0.4025974025974026,0.6753246753246753,0.7662337662337663,0.5760869565217391,0.759493670886076,0.12990689199277003,0.8749716292545052,0.8620213378228788,0.8528356995072109,0.8299614919072448,0.11879276703588705,0.14369501206016816,0.8394014766950891,0.8645972295449764,77
consistency,lowest20_mean_fg,42,0.8441994247363375,0.7245852888907773,0.12693654007127456,0.6883116883116883,0.8657718120805369,0.5698924731182796,0.9148936170212766,0.808075213949747,-0.0660691299009322,0.6328093676961088,0.8081797720438519,0.7843177968355155,0.8993303261584876,0.4025974025974026,0.6493506493506493,0.7402597402597403,0.56,0.7435897435897436,0.13744857936809002,0.8596589511760638,0.8506452403783994,0.8468148797806111,0.831174112113768,0.12619685952368193,0.14971872434807088,0.8338608764424168,0.8589422268255087,77
conf_morph,lowest20_mean_fg,42,0.9543275516429879,0.8507550099375846,0.0769968004018074,0.8441558441558441,0.9060402684563759,0.6989247311827957,0.9574468085106383,0.8593036206370467,-0.0334633078208304,0.7754490564910698,0.9142314648995037,0.9315334518988478,0.974171036200268,0.44155844155844154,0.7532467532467533,0.948051948051948,0.6551724137931034,0.8709677419354839,0.11093535243952836,0.8953341536774224,0.879861173796625,0.8595342523883854,0.8352595298027335,0.10424293347791756,0.1185999576526595,0.8460693308673789,0.871838446794613,77
conf_pooled,lowest20_mean_fg,42,0.9475725616665214,0.8544208101021047,0.08096679531398024,0.8571428571428571,0.889261744966443,0.6666666666666666,0.9601449275362319,0.8826839565536316,-0.047218037396413476,0.7808640230604048,0.9143664200034023,0.9205860317988845,0.9712373991070536,0.4675324675324675,0.7402597402597403,0.8961038961038961,0.6666666666666666,0.855072463768116,0.11200944429728961,0.8940881317398414,0.8754838278561656,0.8579144955097001,0.8377386458366542,0.10485316049449313,0.11926991087311128,0.8457432755245818,0.8708252054048665,77
conf_consistency,lowest20_mean_fg,42,0.959862285365641,0.8950438587878348,0.06427595548815847,0.8571428571428571,0.912751677852349,0.717391304347826,0.9611307420494699,0.8893435251419458,-0.028413583554090044,0.8344069031916393,0.9453121991914272,0.9275393639801836,0.9825477263636194,0.4675324675324675,0.7922077922077922,0.961038961038961,0.7108433734939759,0.8787878787878788,0.11589632762242523,0.8893541481774944,0.879416451756639,0.8618332549235581,0.8340095173889148,0.10766839272545958,0.1254938513131958,0.84932447057698,0.8731741747560049,77
conf_morph_consistency,lowest20_mean_fg,42,0.9580754815654144,0.8823975904823119,0.06917125128277564,0.922077922077922,0.9093959731543624,0.7244897959183674,0.9783393501805054,0.9005206931476536,-0.043053876822387066,0.8197707413214047,0.9343412924036161,0.930043487563893,0.980189067406923,0.45454545454545453,0.7922077922077922,0.948051948051948,0.6842105263157895,0.890625,0.10991435971451728,0.8958032577832494,0.8787406513868543,0.8619558724130748,0.8356207623937352,0.10314053918729359,0.11770626578855574,0.8464360869715445,0.8739052654137163,77
confidence,mean_fg_lt_0.80,42,0.9301172811507807,0.8777428214141909,0.09715084105496993,0.8360655737704918,0.9051383399209486,0.8095238095238095,0.9196787148594378,1.044692949395572,-0.09154946869445024,0.8155408598382535,0.9284278641332431,0.8967262845414689,0.9573962984703354,0.30327868852459017,0.5573770491803278,0.7786885245901639,0.49264705882352944,0.6476190476190476,0.11188253071245544,0.8956857189473524,0.87708992644448,0.857102256456806,0.8312566877043288,0.10416887511182879,0.12051344191779238,0.8419471667358065,0.8702795879335632,122
morphology,mean_fg_lt_0.80,42,0.8340244929696107,0.7844189146535745,0.15979020622622728,0.7295081967213115,0.7786561264822134,0.6137931034482759,0.8565217391304348,1.0302706601147205,-0.13016595886643006,0.717075450466088,0.8438588548527144,0.7846059071370243,0.8809447425610534,0.28688524590163933,0.5327868852459017,0.6557377049180327,0.4701492537313433,0.6018518518518519,0.1268360576908186,0.8768937671463894,0.8619660999675546,0.8514398719893534,0.8306220299872508,0.1156726493646839,0.13943822690423982,0.8377209797539895,0.8642667697017635,122
consistency,mean_fg_lt_0.80,42,0.7857837102313227,0.7268653198423771,0.17169287378956366,0.6147540983606558,0.8221343873517787,0.625,0.8156862745098039,0.8925489581356701,-0.05783167534924383,0.6533758327387862,0.7959755393730925,0.7324019054667138,0.837317063600145,0.28688524590163933,0.4672131147540984,0.5901639344262295,0.4079851851851852,0.5365966576332428,0.13724799673995391,0.8637142205144335,0.8508115468461979,0.8463234665059601,0.8317311566518945,0.12610314511849072,0.14932855664079103,0.8322915583030238,0.8577840012725764,122
conf_morph,mean_fg_lt_0.80,42,0.951176051318603,0.912613623038232,0.08524798104704057,0.860655737704918,0.9051383399209486,0.813953488372093,0.9308943089430894,0.991542261846194,-0.058116149010012275,0.8712226692770818,0.9462557544640982,0.9292631169826797,0.9697975415451413,0.30327868852459017,0.5901639344262295,0.7950819672131147,0.5142806841046277,0.6576576576576577,0.10793914973485184,0.8982612085538102,0.8792044527609238,0.8588217407182583,0.832204158159909,0.10087965409382575,0.1154813585965787,0.844726045004537,0.8711854865979444,122
conf_pooled,mean_fg_lt_0.80,42,0.9010237802112356,0.839447326722742,0.10808461059704998,0.8278688524590164,0.8853754940711462,0.7769230769230769,0.9142857142857143,0.9040019411147711,-0.013258637407885354,0.7682037969604967,0.901579895226669,0.8613031434078753,0.937478707577329,0.2786885245901639,0.5573770491803278,0.7540983606557377,0.48629661339421615,0.6296388888888887,0.11555627297051123,0.8914480326413642,0.8770987265651251,0.858777716488253,0.8288555370347301,0.1080458061028459,0.12377221339566935,0.8448581100110696,0.8708753314500755,122
conf_consistency,mean_fg_lt_0.80,42,0.9367588932806323,0.8961440258608474,0.09068158195166655,0.8524590163934426,0.9090909090909091,0.8188976377952756,0.9274193548387096,1.0080387041972745,-0.06354188132063615,0.8470927563831245,0.9366261571865859,0.9087804562660229,0.9615412188999535,0.30327868852459017,0.5819672131147541,0.7786885245901639,0.5073529411764706,0.6542056074766355,0.11097726136418386,0.8963458909262545,0.8784435754209995,0.8613333988521634,0.8352185120068997,0.10429450971634312,0.11860371180679768,0.8454678483999255,0.8726105423933859,122
conf_morph_consistency,mean_fg_lt_0.80,42,0.9542862696818506,0.92000866458821,0.0805194769669676,0.8688524590163934,0.9090909090909091,0.8217054263565892,0.9349593495934959,1.0128299702607544,-0.05813436391655852,0.8795847429280135,0.9535509742819597,0.9325432386496265,0.972925658850333,0.3114754098360656,0.5901639344262295,0.7950819672131147,0.5185185185185185,0.6697247706422018,0.10594201248728691,0.8997668013759335,0.8798289394197499,0.8622814665340734,0.8352340935761173,0.09972739394267399,0.11338372141398696,0.8466057851233895,0.8733164539638429,122
confidence,mean_fg_lt_0.70,42,0.9293295835979315,0.7701680205255353,0.09976979967714385,0.7945205479452054,0.8609271523178808,0.58,0.9454545454545454,0.8090654669367348,-0.05649965648286709,0.6701084168908377,0.8577332152295061,0.8938554021497406,0.958680283707686,0.4246575342465753,0.7123287671232876,0.863013698630137,0.625,0.8103448275862069,0.11455596500588998,0.8903967638442963,0.8742642603160764,0.8581842404642653,0.8341955075450089,0.10702674823938789,0.12355667315115748,0.843944565131308,0.8697106883962987,73
morphology,mean_fg_lt_0.70,42,0.8744443436451057,0.7320011370196116,0.13136112906646052,0.7945205479452054,0.8509933774834437,0.5631067961165048,0.9448529411764706,0.9053992286154999,-0.13846013133427992,0.6285324969419785,0.8209190613071349,0.8180104528185862,0.9230076831242514,0.3972602739726027,0.6986301369863014,0.7945205479452054,0.5970018329405603,0.7857380952380949,0.1304142704136602,0.8737973476589871,0.8626411567979624,0.8531066875815773,0.8299385214877546,0.11845120403800007,0.14433280623219832,0.8398355436617937,0.8648575657831548,73
consistency,mean_fg_lt_0.70,42,0.8438265444978681,0.7228811822834804,0.12661376630120386,0.684931506849315,0.8642384105960265,0.5494505494505495,0.9190140845070423,0.7792315030872494,-0.06565029893006447,0.6284625905553853,0.810474372659278,0.7790940941621404,0.9015396300576385,0.4383561643835616,0.6575342465753424,0.7534246575342466,0.5652173913043478,0.7547679755226918,0.13780925528817883,0.8565214343264006,0.8514743616773887,0.8449550420330809,0.8313112999795638,0.12655463979002024,0.15112773767510249,0.8311440567525908,0.8573159000976974,73
