method,failure_def,baseline,metric,diff,ci_low,ci_high
combined,dice_lt_0.80,morphology,auprc_diff,0.0027799628202557713,-0.0397491893746717,0.043004611983657036
dice_probe,dice_lt_0.80,morphology,auprc_diff,-0.08745098390359653,-0.16392251123646492,-0.016640063242164636
hgb_combined,dice_lt_0.80,morphology,auprc_diff,0.016448135297866387,-0.021448899942227664,0.0553837187693258
inconsistency,dice_lt_0.80,morphology,auprc_diff,-0.04622810961944401,-0.10634471775297984,0.010911942698633598
morphology,dice_lt_0.80,morphology,auprc_diff,0.0,0.0,0.0
pooled_repr,dice_lt_0.80,morphology,auprc_diff,0.06793054979166636,0.015503240634955227,0.1278425586005923
rep_anatomy,dice_lt_0.80,morphology,auprc_diff,-0.0666931233857396,-0.12721343516307299,-0.003188990983410847
combined,dice_lt_0.70,morphology,auprc_diff,0.03959480159798089,-0.018923308395791143,0.10136536246738756
dice_probe,dice_lt_0.70,morphology,auprc_diff,-0.21309156879301686,-0.3245876058735354,-0.10149694730142564
hgb_combined,dice_lt_0.70,morphology,auprc_diff,0.017136091338931313,-0.05641450948263297,0.09639033826402942
inconsistency,dice_lt_0.70,morphology,auprc_diff,-0.027592073142823623,-0.11437160017855588,0.0634377962792333
morphology,dice_lt_0.70,morphology,auprc_diff,0.0,0.0,0.0
pooled_repr,dice_lt_0.70,morphology,auprc_diff,0.07427937825855069,-0.0218958834758243,0.16660620166651527
rep_anatomy,dice_lt_0.70,morphology,auprc_diff,-0.11023401370461199,-0.20580055328546265,-0.015812328239782236
combined,edema_lt_0.70,morphology,auprc_diff,-0.0042963716196888465,-0.055356482268552325,0.044316585074282905
dice_probe,edema_lt_0.70,morphology,auprc_diff,-0.11401392528157914,-0.22313063494502666,-0.005494342109001011
hgb_combined,edema_lt_0.70,morphology,auprc_diff,-0.037574134794056975,-0.10596546234371855,0.03036417439826101
inconsistency,edema_lt_0.70,morphology,auprc_diff,-0.094324706810724,-0.1759595983951933,-0.013777170692027428
morphology,edema_lt_0.70,morphology,auprc_diff,0.0,0.0,0.0
pooled_repr,edema_lt_0.70,morphology,auprc_diff,-0.08835367661019641,-0.1775665866682283,0.0037073580179624505
rep_anatomy,edema_lt_0.70,morphology,auprc_diff,-0.23077302289625976,-0.33527374023566203,-0.11784414143497525
combined,lowest_20pct,morphology,auprc_diff,0.056250432482246225,-0.005357592478242004,0.12448645668108098
dice_probe,lowest_20pct,morphology,auprc_diff,-0.17988323636769876,-0.2898724369607838,-0.069551924309657
hgb_combined,lowest_20pct,morphology,auprc_diff,0.0603016652464647,-0.013100478952186086,0.14550789755773483
inconsistency,lowest_20pct,morphology,auprc_diff,-0.0034764671148398694,-0.08732410496192516,0.08383682381391411
morphology,lowest_20pct,morphology,auprc_diff,0.0,0.0,0.0
pooled_repr,lowest_20pct,morphology,auprc_diff,0.08482638738791395,-0.007594521246972646,0.17336151138792025
rep_anatomy,lowest_20pct,morphology,auprc_diff,-0.17564485185281162,-0.2760387138912681,-0.07399460932719537
