method,failure_def,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,capture_at_10,capture_at_20,capture_at_30,aurc_ci_low,aurc_ci_high,capture20_ci_low,capture20_ci_high,cohort_mean_dice
combined,dice_lt_0.80,0.12404183174195386,0.8804372023110386,0.8661251368120803,0.8501649471322056,0.8294597652041665,0.29508196721311475,0.5081967213114754,0.6721311475409836,0.11407472038396085,0.13455152593158798,0.44714985218034,0.5750055309734513,0.8007455378954216
dice_probe,dice_lt_0.80,0.1375678219432391,0.8632818118077786,0.8435120387312949,0.8395277123794771,0.8224412774395267,0.2786885245901639,0.48360655737704916,0.5655737704918032,0.1239187679594895,0.15330181894451178,0.39837038635873084,0.5344978826376284,0.8007455378954216
hgb_combined,dice_lt_0.80,0.12731573800611964,0.87968118844445,0.8667418188755276,0.852680594512261,0.831153532902545,0.29508196721311475,0.5327868852459017,0.6967213114754098,0.1161664258371397,0.1412774081811227,0.46575081041514166,0.5937577351485148,0.8007455378954216
inconsistency,dice_lt_0.80,0.13836802770379716,0.8643963858372109,0.854397650598481,0.8468804898348958,0.8305076455623213,0.29508196721311475,0.47540983606557374,0.6065573770491803,0.12674941835269668,0.1514627390783927,0.4140557650862069,0.543859649122807,0.8007455378954216
morphology,dice_lt_0.80,0.12683605769081857,0.8768937671463896,0.8619660999675546,0.8514398719893536,0.8306220299872508,0.28688524590163933,0.5327868852459017,0.6557377049180327,0.11583604059457664,0.1389428300877246,0.4687445367132867,0.5965299277605777,0.8007455378954216
pooled_repr,dice_lt_0.80,0.11448195416769179,0.8911848083097733,0.8757741786912042,0.8558466312529565,0.8333319071450075,0.29508196721311475,0.5491803278688525,0.7377049180327869,0.1074155052364884,0.12283418088645469,0.4927536231884058,0.6315913604766632,0.8007455378954216
rep_anatomy,dice_lt_0.80,0.13056419052987173,0.8729284397680543,0.8553969900976922,0.8437243324076632,0.8251157112949072,0.2786885245901639,0.48360655737704916,0.6229508196721312,0.11934739265925944,0.14347515263896682,0.4236111111111111,0.5508474576271186,0.8007455378954216
combined,dice_lt_0.70,0.12460107244470509,0.8769619763248124,0.8648626989308932,0.8526738026826338,0.8325013138887299,0.4657534246575342,0.684931506849315,0.8493150684931506,0.11511312574943963,0.13511315101016363,0.6075949367088608,0.7966101694915254,0.8007455378954216
dice_probe,dice_lt_0.70,0.1375792199112083,0.8606977111833972,0.8435120387312949,0.8386259122178107,0.8225454648070134,0.3150684931506849,0.5068493150684932,0.6027397260273972,0.12395725087483679,0.152928353594837,0.4,0.5970201077943614,0.8007455378954216
hgb_combined,dice_lt_0.70,0.12824930447461852,0.8725671213299485,0.862835299448056,0.8535938863069473,0.8303475028788021,0.410958904109589,0.7123287671232876,0.8356164383561644,0.11896315704938368,0.13848831754451846,0.6333227848101266,0.8181818181818182,0.8007455378954216
inconsistency,dice_lt_0.70,0.13895642099886693,0.858423117070489,0.856551689823435,0.845811472041543,0.8330418874211971,0.4520547945205479,0.6301369863013698,0.7534246575342466,0.12809435634837527,0.15192186583697986,0.5348677922905384,0.7230769230769231,0.8007455378954216
morphology,dice_lt_0.70,0.13046678019182575,0.8737973476589871,0.8626411567979624,0.8531066875815771,0.8299385214877546,0.3972602739726027,0.6986301369863014,0.7945205479452054,0.11828868256399262,0.14455952833447086,0.5975570161545771,0.782608695652174,0.8007455378954216
pooled_repr,dice_lt_0.70,0.11537247814571064,0.8883905146667032,0.872560281085155,0.8566201585391874,0.8355882802096435,0.4657534246575342,0.7397260273972602,0.8904109589041096,0.10826644578852913,0.1234513587948546,0.6447295321637427,0.8500186567164177,0.8007455378954216
rep_anatomy,dice_lt_0.70,0.13511159002146417,0.8666759914816791,0.8567881063459365,0.8426904367601337,0.8235158110912125,0.3698630136986301,0.589041095890411,0.7397260273972602,0.1244106783734409,0.14812071047612826,0.5057471264367817,0.7014925373134329,0.8007455378954216
combined,edema_lt_0.70,0.13663339440988542,0.8593676467554087,0.8525628519710959,0.8394648116931462,0.8261236356875007,0.35555555555555557,0.6222222222222222,0.7888888888888889,0.12341551322714679,0.1526147435081904,0.5494397759103642,0.7215189873417721,0.8007455378954216
dice_probe,edema_lt_0.70,0.13772296702530107,0.8632962038823117,0.8449988720722137,0.8395277123794771,0.8224118339595791,0.34444444444444444,0.5777777777777777,0.6777777777777778,0.1240502355052202,0.15311449730906376,0.49424949290060854,0.6629244015632633,0.8007455378954216
hgb_combined,edema_lt_0.70,0.13114243549285579,0.8728843570434957,0.8521444247815896,0.8405525783761075,0.8206339282156712,0.35555555555555557,0.6111111111111112,0.7777777777777778,0.12006010949250616,0.14351518832015378,0.5339785255882836,0.7051470588235293,0.8007455378954216
inconsistency,edema_lt_0.70,0.1489163499728434,0.8559340026634857,0.8443443760104766,0.8344850925512013,0.8207081700357529,0.3,0.5333333333333333,0.7111111111111111,0.13492613836160194,0.165947893924709,0.4608674339300938,0.6265100401606426,0.8007455378954216
morphology,edema_lt_0.70,0.13630195090334163,0.8641547679766173,0.8564689109824973,0.8418229002686239,0.8215639541393742,0.36666666666666664,0.6333333333333333,0.8,0.12287210925453976,0.1508080209687526,0.5478146453089244,0.725,0.8007455378954216
pooled_repr,edema_lt_0.70,0.11831928294152855,0.8845550372943554,0.8608555190982023,0.8473041341699655,0.8287954329918761,0.34444444444444444,0.5777777777777777,0.6888888888888889,0.11003000388823907,0.12737319747391374,0.5,0.6625037650602409,0.8007455378954216
rep_anatomy,edema_lt_0.70,0.1410453771158364,0.863008289139942,0.8379103231207975,0.8289744111281749,0.8133179148454585,0.25555555555555554,0.43333333333333335,0.6111111111111112,0.1259721606812277,0.15717303875284644,0.3552600836202656,0.525,0.8007455378954216
combined,lowest_20pct,0.12510395636103117,0.8773657602817215,0.8627342496599999,0.853560569597408,0.8319757842770664,0.45454545454545453,0.7142857142857143,0.8181818181818182,0.11579466569837893,0.13551709259458086,0.6025602409638554,0.783797032326444,0.8007455378954216
dice_probe,lowest_20pct,0.137442476000068,0.8639031879090084,0.8442786351311288,0.8389236429174298,0.8225454648070134,0.3116883116883117,0.5194805194805194,0.6233766233766234,0.12405357548694936,0.15265886596527642,0.4185872960777508,0.6111111111111112,0.8007455378954216
hgb_combined,lowest_20pct,0.12815821681689535,0.8698502981102939,0.8620634678491791,0.8544567497759673,0.8329801048844591,0.44155844155844154,0.7272727272727273,0.8311688311688312,0.11874057676414562,0.1395817031377397,0.6412973801560757,0.8158114035087718,0.8007455378954216
inconsistency,lowest_20pct,0.14055880194141745,0.8568619635633752,0.8553159301186206,0.8475329291949351,0.8337362920866278,0.44155844155844154,0.6493506493506493,0.7792207792207793,0.12939862670920543,0.15368301645523724,0.5308456046407853,0.7428571428571429,0.8007455378954216
morphology,lowest_20pct,0.1298740836519077,0.8749716292545053,0.8620213378228788,0.8528356995072109,0.8299614919072448,0.38961038961038963,0.6753246753246753,0.7662337662337663,0.11912563809612031,0.14353502606859259,0.5760464847363552,0.7539189189189185,0.8007455378954216
pooled_repr,lowest_20pct,0.11523167778891404,0.8893069205145447,0.8719711795972012,0.8570252424435428,0.8355938687094305,0.44155844155844154,0.7402597402597403,0.8571428571428571,0.10802229000747159,0.12319998229927523,0.6404020576688778,0.8493321917808218,0.8007455378954216
rep_anatomy,lowest_20pct,0.13337469648031886,0.8680437879259771,0.8547028850179249,0.842649724261681,0.8244147977664623,0.3246753246753247,0.5584415584415584,0.7012987012987013,0.12266545114314527,0.1449158743125295,0.4583333333333333,0.647079536039768,0.8007455378954216
