failure_def,method_a,method_b,metric,diff_mean,ci_low,ci_high,frac_a_better
lowest20_mean_fg,combined,confidence,auprc_diff,-0.0143958033735721,-0.10716166603411958,0.07567084283498374,0.3785
lowest20_mean_fg,combined_conf,combined,auprc_diff,0.09163581357721384,0.031232471173277824,0.1551675773415334,0.999
lowest20_mean_fg,combined_pooled,combined,auprc_diff,0.04471854768845746,-0.03203547230137972,0.1232826995789028,0.8775
lowest20_mean_fg,combined_conf,combined_pooled,auprc_diff,0.0469656181035232,-0.013178689474241112,0.11176852974106341,0.9365
lowest20_mean_fg,combined_conf,confidence,auprc_diff,0.07631648504545169,0.018841052277300246,0.1382083007202522,0.998
lowest20_mean_fg,pooled,confidence,auprc_diff,0.00426590368173693,-0.07943492338471143,0.08735661246888486,0.5395
lowest20_mean_fg,pooled,combined,auprc_diff,0.020042536703383986,-0.06760462423390994,0.10609059516500059,0.6865
lowest20_mean_fg,combined_conf_pooled,combined_conf,auprc_diff,-0.12945007502249445,-0.22921608260833368,-0.03630559990762327,0.002
lowest20_mean_fg,combined_conf_pooled,combined_pooled,auprc_diff,-0.07983778151993208,-0.15525784867452366,-0.011172109292275852,0.011
mean_fg_lt_0.80,combined,confidence,auprc_diff,-0.08229719538794592,-0.14502027512527535,-0.01581966521309748,0.01
mean_fg_lt_0.80,combined_conf,combined,auprc_diff,0.12004472181622575,0.07345933769012053,0.17263861947230216,1.0
mean_fg_lt_0.80,combined_pooled,combined,auprc_diff,0.07339783015159888,0.029490782760585418,0.11845973247201212,0.999
mean_fg_lt_0.80,combined_conf,combined_pooled,auprc_diff,0.04739865039240087,0.010140568223535623,0.08819350653671765,0.995
mean_fg_lt_0.80,combined_conf,confidence,auprc_diff,0.036412154998944575,0.0048277876819267235,0.07442561641282658,0.9885
mean_fg_lt_0.80,pooled,confidence,auprc_diff,-0.022199407821982684,-0.07925802108988043,0.043402047544339566,0.2315
mean_fg_lt_0.80,pooled,combined,auprc_diff,0.059811502524133406,0.009185848406925207,0.10963236650492038,0.991
mean_fg_lt_0.80,combined_conf_pooled,combined_conf,auprc_diff,-0.03779259568878113,-0.06553475069458152,-0.01516884962872667,0.0005
mean_fg_lt_0.80,combined_conf_pooled,combined_pooled,auprc_diff,0.010180094597722405,-0.021042175871072516,0.04116034485849813,0.749
mean_fg_lt_0.70,combined,confidence,auprc_diff,0.012127478477603272,-0.09730271581998706,0.1275591818813017,0.573
mean_fg_lt_0.70,combined_conf,combined,auprc_diff,0.10827514794318438,0.03578617396928407,0.18463760195115803,0.9985
mean_fg_lt_0.70,combined_pooled,combined,auprc_diff,0.02545606756427283,-0.054195422861464754,0.10401712537290811,0.738
mean_fg_lt_0.70,combined_conf,combined_pooled,auprc_diff,0.08121609806232406,0.0031901227329464393,0.16657850868734375,0.979
mean_fg_lt_0.70,combined_conf,confidence,auprc_diff,0.11784712018922738,0.051612262110319086,0.18973082561052276,1.0
mean_fg_lt_0.70,pooled,confidence,auprc_diff,0.04429207174790872,-0.056052047702463775,0.14526707414640344,0.796
mean_fg_lt_0.70,pooled,combined,auprc_diff,0.035295613173111674,-0.055725464640309766,0.1261726357514335,0.769
mean_fg_lt_0.70,combined_conf_pooled,combined_conf,auprc_diff,-0.10644969856229905,-0.19155556488885916,-0.027769396876923265,0.003
mean_fg_lt_0.70,combined_conf_pooled,combined_pooled,auprc_diff,-0.02554874483258329,-0.09752928455182505,0.03944710707498996,0.23
