method,failure_def,auprc,auroc,auprc_boot_mean,auprc_ci_low,auprc_ci_high,capture_at_10,capture_at_20,capture_at_30,capture20_ci_low,capture20_ci_high,aurc,mean_dice_coverage_80,n_pos
confidence,lowest20_mean_fg,0.8058813622298686,0.9304889741131352,0.8056292496627754,0.7176824678975156,0.877011185323746,0.44155844155844154,0.7142857142857143,0.8701298701298701,0.611764705882353,0.8082191780821918,0.11477444909262755,0.8582724668606405,77
morphology,lowest20_mean_fg,0.7256634750941189,0.865510328597577,0.7291170711035572,0.6270896033422312,0.8155071617460211,0.4025974025974026,0.6753246753246753,0.7662337662337663,0.5810602268935602,0.7627230151650312,0.12989109684535813,0.8528356995072109,77
inconsistency,lowest20_mean_fg,0.7113865486313783,0.8109038612394317,0.7139371066158735,0.6147090119442715,0.8001780849148448,0.44155844155844154,0.6493506493506493,0.7142857142857143,0.5405327741534638,0.7377238335435056,0.14714275889093104,0.8462451552265633,77
combined,lowest20_mean_fg,0.7911548629979586,0.8932275777913362,0.7916757097217704,0.7033683131196483,0.8627230363779286,0.45454545454545453,0.6883116883116883,0.8051948051948052,0.5957320162107396,0.7837837837837838,0.12568228261735004,0.8493609964918711,77
combined_conf,lowest20_mean_fg,0.8839760059071885,0.9516255556524014,0.8831953159311605,0.817669821920609,0.9365600488063841,0.4675324675324675,0.7922077922077922,0.935064935064935,0.6986123002283106,0.896564401622718,0.11177515808708151,0.8593857562455821,77
pooled,lowest20_mean_fg,0.810581429317783,0.9313605857230017,0.812803564571177,0.7183374256693407,0.8906717047442164,0.44155844155844154,0.7402597402597403,0.8571428571428571,0.6428571428571429,0.8529411764705882,0.11523167778891402,0.8570252424435428,77
combined_pooled,lowest20_mean_fg,0.8360208797723307,0.938464220343415,0.8343130758977813,0.7451361860881093,0.901633431478915,0.45454545454545453,0.7922077922077922,0.8571428571428571,0.676056338028169,0.8676664086687306,0.11478380213484872,0.8609978839319907,77
combined_conf_pooled,lowest20_mean_fg,0.7510823996871191,0.9175455417066155,0.7563525274770775,0.6412552813408254,0.8644424345001827,0.4025974025974026,0.7792207792207793,0.8961038961038961,0.6666666666666666,0.8611111111111112,0.12318710497405318,0.8596221932296582,77
confidence,mean_fg_lt_0.80,0.8750423252291567,0.9302792716905331,0.8754169448449993,0.8086510093661283,0.9267570455259283,0.29508196721311475,0.5573770491803278,0.7704918032786885,0.4926443151887621,0.6538461538461539,0.11186668383393819,0.857102256456806,122
morphology,mean_fg_lt_0.80,0.7844189146535745,0.8340244929696107,0.7848405840075342,0.7199438480276372,0.844799143572668,0.28688524590163933,0.5327868852459017,0.6557377049180327,0.47058823529411764,0.6021829810900999,0.1268360576908186,0.8514398719893534,122
inconsistency,mean_fg_lt_0.80,0.7419345549286829,0.7845201840212531,0.7419813750367045,0.671105927444178,0.8047033075797431,0.30327868852459017,0.47540983606557374,0.6229508196721312,0.4222135416666667,0.5514018691588785,0.1417073866312345,0.8449003554366327,122
combined,mean_fg_lt_0.80,0.79225964655346,0.8338301043219075,0.7929133346604399,0.7271113340939924,0.8496714476669224,0.3114754098360656,0.5,0.6557377049180327,0.4529761904761905,0.5794490693473651,0.1255356783501217,0.8487317701460819,122
combined_conf,mean_fg_lt_0.80,0.9128419590274321,0.9497505345687812,0.9134430656814008,0.8694261354415899,0.948457949523861,0.30327868852459017,0.5819672131147541,0.7950819672131147,0.5109489051094891,0.6697247706422018,0.10749189475466463,0.8619127560614849,122
