failure_def,model_seed,method_a,method_b,metric,diff_mean,ci_low,ci_high,frac_a_better
lowest20_mean_fg,42,conf_consistency,confidence,auprc_diff,0.08922304682650246,0.0314479699632682,0.15163146119527954,0.9978
lowest20_mean_fg,42,conf_consistency,confidence,capture20_diff,0.08638473791843214,0.012500000000000067,0.16455696202531656,0.9774
lowest20_mean_fg,42,conf_consistency,confidence,aurc_diff,-0.0007218048364259325,-0.008231128943075358,0.005581783720367891,0.4452
lowest20_mean_fg,42,conf_consistency,confidence,dice80_diff,0.004016712315022189,0.00024135621932450948,0.00891511976426582,0.9816
lowest20_mean_fg,42,conf_consistency,conf_morph,auprc_diff,0.043992190178877164,-0.007889374343481494,0.09879243941857968,0.9516
lowest20_mean_fg,42,conf_consistency,conf_morph,capture20_diff,0.03147681217014855,-0.05882352941176472,0.11392405063291144,0.7218
lowest20_mean_fg,42,conf_consistency,conf_morph,aurc_diff,-0.004885951876364563,-0.01159736039314402,0.0003361217558836873,0.0376
lowest20_mean_fg,42,conf_consistency,conf_morph,dice80_diff,0.001932313011160066,-0.001825206846694527,0.005953764350288429,0.843
lowest20_mean_fg,42,conf_consistency,conf_pooled,auprc_diff,0.039977090248343616,-0.016249300243246837,0.09951787947319904,0.9216
lowest20_mean_fg,42,conf_consistency,conf_pooled,capture20_diff,0.03620096735924084,-0.04225352112676051,0.11292155425219916,0.7702
lowest20_mean_fg,42,conf_consistency,conf_pooled,aurc_diff,-0.003990760091127779,-0.010918263267579782,0.001292043017978812,0.0828
lowest20_mean_fg,42,conf_consistency,conf_pooled,dice80_diff,0.0030228250170112963,-0.0010956483168223978,0.007683929432643557,0.9228
lowest20_mean_fg,42,conf_morph_consistency,conf_consistency,auprc_diff,-0.013034193352598743,-0.052008782396136474,0.02663034689287665,0.2662
lowest20_mean_fg,42,conf_morph_consistency,conf_consistency,capture20_diff,-0.00977198163259914,-0.08045977011494254,0.06493506493506496,0.3182
