method,failure_def,model_seed,aurc,mean_dice_coverage_50,mean_dice_coverage_70,mean_dice_coverage_80,mean_dice_coverage_90,capture_at_10,capture_at_20,capture_at_30
confidence,lowest20_mean_fg,42,0.11487521435907015,0.888760139845289,0.8759377573298646,0.8582724668606405,0.8320776992379114,0.44155844155844154,0.7142857142857143,0.8701298701298701
morphology,lowest20_mean_fg,42,0.12990689199277003,0.8749716292545052,0.8620213378228788,0.8528356995072109,0.8299614919072448,0.4025974025974026,0.6753246753246753,0.7662337662337663
consistency,lowest20_mean_fg,42,0.13744857936809002,0.8596589511760638,0.8506452403783994,0.8468148797806111,0.831174112113768,0.4025974025974026,0.6493506493506493,0.7402597402597403
conf_morph,lowest20_mean_fg,42,0.11093535243952836,0.8953341536774224,0.879861173796625,0.8595342523883854,0.8352595298027335,0.44155844155844154,0.7532467532467533,0.948051948051948
conf_pooled,lowest20_mean_fg,42,0.11200944429728961,0.8940881317398414,0.8754838278561656,0.8579144955097001,0.8377386458366542,0.4675324675324675,0.7402597402597403,0.8961038961038961
conf_consistency,lowest20_mean_fg,42,0.11589632762242523,0.8893541481774944,0.879416451756639,0.8618332549235581,0.8340095173889148,0.4675324675324675,0.7922077922077922,0.961038961038961
conf_morph_consistency,lowest20_mean_fg,42,0.10991435971451728,0.8958032577832494,0.8787406513868543,0.8619558724130748,0.8356207623937352,0.45454545454545453,0.7922077922077922,0.948051948051948
confidence,mean_fg_lt_0.80,42,0.11188253071245544,0.8956857189473524,0.87708992644448,0.857102256456806,0.8312566877043288,0.30327868852459017,0.5573770491803278,0.7786885245901639
morphology,mean_fg_lt_0.80,42,0.1268360576908186,0.8768937671463894,0.8619660999675546,0.8514398719893534,0.8306220299872508,0.28688524590163933,0.5327868852459017,0.6557377049180327
consistency,mean_fg_lt_0.80,42,0.13724799673995391,0.8637142205144335,0.8508115468461979,0.8463234665059601,0.8317311566518945,0.28688524590163933,0.4672131147540984,0.5901639344262295
conf_morph,mean_fg_lt_0.80,42,0.10793914973485184,0.8982612085538102,0.8792044527609238,0.8588217407182583,0.832204158159909,0.30327868852459017,0.5901639344262295,0.7950819672131147
conf_pooled,mean_fg_lt_0.80,42,0.11555627297051123,0.8914480326413642,0.8770987265651251,0.858777716488253,0.8288555370347301,0.2786885245901639,0.5573770491803278,0.7540983606557377
conf_consistency,mean_fg_lt_0.80,42,0.11097726136418386,0.8963458909262545,0.8784435754209995,0.8613333988521634,0.8352185120068997,0.30327868852459017,0.5819672131147541,0.7786885245901639
conf_morph_consistency,mean_fg_lt_0.80,42,0.10594201248728691,0.8997668013759335,0.8798289394197499,0.8622814665340734,0.8352340935761173,0.3114754098360656,0.5901639344262295,0.7950819672131147
confidence,mean_fg_lt_0.70,42,0.11455596500588998,0.8903967638442963,0.8742642603160764,0.8581842404642653,0.8341955075450089,0.4246575342465753,0.7123287671232876,0.863013698630137
morphology,mean_fg_lt_0.70,42,0.1304142704136602,0.8737973476589871,0.8626411567979624,0.8531066875815773,0.8299385214877546,0.3972602739726027,0.6986301369863014,0.7945205479452054
consistency,mean_fg_lt_0.70,42,0.13780925528817883,0.8565214343264006,0.8514743616773887,0.8449550420330809,0.8313112999795638,0.4383561643835616,0.6575342465753424,0.7534246575342466
conf_morph,mean_fg_lt_0.70,42,0.10943581066549044,0.8972093810493722,0.8794372275845204,0.859784323169545,0.8346735289660047,0.4520547945205479,0.7808219178082192,0.958904109589041
conf_pooled,mean_fg_lt_0.70,42,0.1125401492972252,0.8930385042766389,0.8760995326882091,0.8597941636594139,0.836808484342665,0.4794520547945205,0.7808219178082192,0.9315068493150684
conf_consistency,mean_fg_lt_0.70,42,0.1159833851936654,0.8935189890072244,0.8797035341458077,0.8622372174766013,0.8369753308507958,0.4794520547945205,0.821917808219178,0.9863013698630136
